Strain,Drug,Concentration,T_B01,T_B02
A02,ND,0,1,
A02,FLC,2,1,
A02,BA,0.4,2,
A02,FLC,4,1,
A02,BA,0.8,4,
A02,FLC,8,1,
A02,BA,1.6,7,
A02,FLC,16,1,
A02,BA,3.2,14,
A02,FLC,32,1,
A02,BA,6.4,25,
A03,ND,0,1,
A03,FLC,2,1,
A03,BA,0.4,2,
A03,FLC,4,1,
A03,BA,0.8,4,
A03,FLC,8,1,
A03,BA,1.6,8,
A03,FLC,16,1,
A03,BA,3.2,22,
A03,FLC,32,1,
A03,BA,6.4,25,
A04,ND,0,1,
A04,FLC,2,1,
A04,BA,0.4,2,
A04,FLC,4,1,
A04,BA,0.8,4,
A04,FLC,8,1,
A04,BA,1.6,7,
A04,FLC,16,1,
A04,BA,3.2,23,
A04,FLC,32,1,
A04,BA,6.4,25,
A08,ND,0,1,
A08,FLC,2,1,
A08,BA,0.4,2,
A08,FLC,4,1,
A08,BA,0.8,4,
A08,FLC,8,1,
A08,BA,1.6,7,
A08,FLC,16,1,
A08,BA,3.2,14,
A08,FLC,32,1,
A08,BA,6.4,25,
A10,ND,0,1,
A10,FLC,2,1,
A10,BA,0.4,2,
A10,FLC,4,1,
A10,BA,0.8,3,
A10,FLC,8,1,
A10,BA,1.6,6,
A10,FLC,16,1,
A10,BA,3.2,23,
A10,FLC,32,1,
A10,BA,6.4,25,
A12,ND,0,2,
A12,FLC,2,2,
A12,BA,0.4,2,
A12,FLC,4,2,
A12,BA,0.8,3,
A12,FLC,8,2,
A12,BA,1.6,10,
A12,FLC,16,2,
A12,BA,3.2,25,
A12,FLC,32,2,
A12,BA,6.4,25,
A17,ND,0,1,
A17,FLC,2,1,
A17,BA,0.4,1,
A17,FLC,4,1,
A17,BA,0.8,2,
A17,FLC,8,1,
A17,BA,1.6,4,
A17,FLC,16,1,
A17,BA,3.2,16,
A17,FLC,32,1,
A17,BA,6.4,25,
A18,ND,0,1,
A18,FLC,2,1,
A18,BA,0.4,2,
A18,FLC,4,1,
A18,BA,0.8,3,
A18,FLC,8,1,
A18,BA,1.6,9,
A18,FLC,16,1,
A18,BA,3.2,23,
A18,FLC,32,1,
A18,BA,6.4,25,
