Strain,StrainAGNo
A01,yAG104
A02,yAG106
A03,yAG109
A04,yAG110
A05,yAG111
A06,yAG112
A07,yAG113
A08,yAG116
A09,yAG118
A10,yAG119
A11,yAG121
A12,yAG54
A13,yAG190
A14,yAG32
A15,yAG192
A16,yAG193
A17,yAG3
A18,yAG126
A19,yAG117
A20,yAG98
A21,yAG43
A22,yAG60
A23,yAG46
A24,yAG29
A25,yAG58
A26,HSC002
A27,HSC007
A28,HSC008
A29,HSC012
A30,HSC014
A31,HSC015
A32,HSC020
A33,HSC028
A34,HSC029
A35,HSC030
A36,HSC034
A37,HSC038
A38,HSC041
A39,HSC042
A40,HSC043
A41,HSC044
A42,HSC046
A43,HSC047
A44,HSC048
A45,HSC050
A46,HSC051
A47,HSC054
A48,HSC055
A49,HSC057
A50,HSC058
A51,HSC059
A52,HSC061
A53,HSC062
A54,HSC063
A55,HSC074
A56,HSC077
A57,HSC078
A58,HSC080
A59,HSC081
A60,HSC082
A61,HSC083
A62,HSC090
A63,HSC094
A64,HSC097
A65,HSC098
A66,HSC099
A67,HSC100
A68,HSC105
