Strain,Biorep,Drug,12.5,6.25,3.125,1.5625,0.78125,0.390625,0,Background
A02,a,BA,0.1706,0.1653,0.2254,0.3320,0.3059,0.4340,0.3126,0.0728
A03,a,BA,0.2730,0.3020,0.3631,0.3590,0.4094,0.5778,0.4873,0.0734
A04,a,BA,0.3436,0.6995,0.5796,0.5495,0.8275,1.0178,0.9753,0.0732
A08,a,BA,0.1198,0.1198,0.1141,0.1386,0.1540,0.1854,0.2172,0.0718
A10,a,BA,0.0765,0.0766,0.0742,0.0738,0.0772,0.0676,0.0716,0.0727
A12,a,BA,0.0721,0.0732,0.0723,0.0782,0.0885,0.0799,0.0775,0.0723
A17,a,BA,0.7781,0.8013,0.8206,0.8765,0.8763,0.9862,1.0749,0.0725
A18,a,BA,0.2088,0.2467,0.2690,0.4082,0.4925,0.4767,0.3666,0.0717
A02,b,BA,0.2138,0.1648,0.1637,0.2406,0.3192,0.4527,0.2465,0.0735
A03,b,BA,0.3767,0.4587,0.4302,0.4403,0.5732,0.6512,0.4122,0.0729
A04,b,BA,0.4852,0.7813,0.5239,0.6034,0.6956,0.8260,0.8829,0.0715
A08,b,BA,0.1194,0.1139,0.1055,0.1298,0.1534,0.1916,0.2322,0.0726
A10,b,BA,0.0777,0.0791,0.0758,0.0746,0.0735,0.0732,0.0781,0.0745
A12,b,BA,0.0730,0.0727,0.0773,0.0861,0.0786,0.0817,0.0849,0.0754
A17,b,BA,0.5624,0.7508,0.6405,0.7763,0.8379,0.8843,0.9687,0.0723
A18,b,BA,0.1240,0.1685,0.2677,0.2306,0.3518,0.4353,0.5067,0.0728
