Strain,Biorep,Drug,12.5,6.25,3.125,1.5625,0.78125,0.390625,0,Background
A02,a,BA,0.2605,0.2295,0.3416,0.4056,0.3368,0.5118,0.3827,0.0719
A03,a,BA,0.3969,0.4307,0.4439,0.4695,0.4096,0.5043,0.4500,0.0727
A04,a,BA,0.4448,0.7948,0.5574,0.6110,0.6116,0.7828,0.5230,0.0721
A08,a,BA,0.1735,0.1491,0.1648,0.1471,0.1408,0.1476,0.1799,0.0816
A10,a,BA,0.0730,0.0753,0.0790,0.0744,0.0741,0.0745,0.0781,0.0720
A12,a,BA,0.0762,0.0855,0.0760,0.0727,0.0745,0.0725,0.0755,0.0732
A17,a,BA,0.7938,0.6778,0.7492,0.7426,0.6725,0.7303,0.8222,0.0715
A18,a,BA,0.3227,0.3321,0.3318,0.3966,0.3376,0.3184,0.2471,0.0712
A02,b,BA,0.2877,0.2140,0.1954,0.1838,0.2255,0.2441,0.1713,0.0735
A03,b,BA,0.5112,0.6164,0.5178,0.3861,0.4544,0.5113,0.3150,0.0731
A04,b,BA,0.5080,0.7188,0.4895,0.5531,0.4684,0.5072,0.5296,0.0717
A08,b,BA,0.1431,0.1424,0.1237,0.1258,0.1367,0.1385,0.1618,0.0723
A10,b,BA,0.0764,0.0794,0.0772,0.0735,0.0732,0.0735,0.0797,0.0725
A12,b,BA,0.0728,0.0725,0.0759,0.0740,0.0712,0.0735,0.0765,0.0720
A17,b,BA,0.4793,0.6466,0.5374,0.6114,0.6512,0.5891,0.6346,0.0713
A18,b,BA,0.1524,0.1941,0.2835,0.1997,0.2674,0.3289,0.3188,0.0716
