Strain,Biorep,Drug,32,16,8,4,2,1,0,Background
A02,a,FLC,0.4162,0.4599,0.3805,0.3749,0.4117,0.4132,0.3249,0.3212
A03,a,FLC,0.5134,0.5680,0.4639,0.4704,0.4658,0.5421,0.6423,0.0744
A04,a,FLC,0.9802,0.7730,0.8891,0.8677,0.9182,0.7501,1.0581,0.0725
A08,a,FLC,0.1815,0.1847,0.1637,0.1889,0.1766,0.1855,0.2226,0.0714
A10,a,FLC,0.0898,0.0809,0.0817,0.0760,0.0795,0.0744,0.0797,0.0724
A12,a,FLC,0.0914,0.0761,0.0794,0.0769,0.0773,0.0777,0.0787,0.0723
A17,a,FLC,1.1893,1.0733,0.9592,0.9335,0.9072,0.8915,1.1380,0.0729
A18,a,FLC,0.3231,0.3181,0.5344,0.4163,0.3230,0.3056,0.3893,0.0726
A02,b,FLC,0.4771,0.3075,0.4199,0.2852,0.2478,0.2121,0.2444,0.0740
A03,b,FLC,0.7664,0.5443,0.6727,0.6705,0.5777,0.6113,0.3686,0.0776
A04,b,FLC,0.8658,0.7118,0.9487,0.8499,0.9911,0.9655,1.0674,0.0750
A08,b,FLC,0.1823,0.1555,0.1382,0.1460,0.1518,0.1617,0.1959,0.0760
A10,b,FLC,0.0768,0.0747,0.0803,0.0830,0.0683,0.0669,0.0738,0.0719
A12,b,FLC,0.0862,0.0865,0.0745,0.0882,0.0798,0.0812,0.0864,0.0728
A17,b,FLC,0.8160,1.0840,1.0497,0.9352,1.0270,1.1182,1.0605,0.0720
A18,b,FLC,0.2825,0.3657,0.3914,0.4362,0.4999,0.4254,0.3375,0.0719
