Strain,Biorep,Drug,32,16,8,4,2,1,0,Background
A02,a,FLC,0.5992,0.3960,0.3043,0.3086,0.3550,0.3837,0.3503,0.0718
A03,a,FLC,0.5324,0.4822,0.3709,0.4071,0.4210,0.5187,0.5414,0.0724
A04,a,FLC,0.7622,0.5171,0.6164,0.5658,0.7035,0.5748,0.7738,0.0725
A08,a,FLC,0.1794,0.1520,0.1381,0.1483,0.1581,0.1754,0.1945,0.0716
A10,a,FLC,0.0801,0.0800,0.0841,0.0836,0.1014,0.0779,0.0809,0.0801
A12,a,FLC,0.0873,0.0765,0.0747,0.0733,0.0745,0.0794,0.0821,0.0729
A17,a,FLC,0.9252,0.7854,0.6607,0.6375,0.5711,0.6009,0.8476,0.0723
A18,a,FLC,0.3857,0.2307,0.3659,0.3366,0.2681,0.2167,0.2919,0.0718
A02,b,FLC,0.2566,0.1849,0.2330,0.1823,0.1622,0.1544,0.1606,0.0741
A03,b,FLC,0.6459,0.3962,0.5337,0.5536,0.4264,0.4707,0.2540,0.0727
A04,b,FLC,0.5278,0.4424,0.6280,0.6231,0.6922,0.6903,0.7569,0.0766
A08,b,FLC,0.1417,0.1226,0.1157,0.1221,0.1207,0.1213,0.1371,0.0714
A10,b,FLC,0.0798,0.0746,0.0726,0.0753,0.0725,0.0726,0.0750,0.0714
A12,b,FLC,0.0741,0.0743,0.0737,0.0820,0.0732,0.0783,0.0744,0.0716
A17,b,FLC,0.5737,0.7942,0.7510,0.6606,0.7632,0.8573,0.7886,0.0753
A18,b,FLC,0.2464,0.2418,0.2870,0.3463,0.4140,0.3738,0.2789,0.0712
