Strain,Biorep,Drug,32,16,8,4,2,1,0,Background
A02,a,FLC,0.2065,0.2674,0.2897,0.2007,0.2846,0.2960,0.3296,0.0738
A03,a,FLC,0.2162,0.2467,0.2972,0.2720,0.3036,0.2963,0.3133,0.0750
A04,a,FLC,0.6092,0.6655,0.7389,0.6945,0.6370,0.6999,0.6941,0.0767
A08,a,FLC,0.2475,0.2494,0.2875,0.3003,0.3020,0.3273,0.3891,0.0758
A10,a,FLC,0.0854,0.0938,0.1049,0.1092,0.1086,0.1078,0.1069,0.0756
A12,a,FLC,0.1456,0.2038,0.2218,0.2173,0.2217,0.2516,0.2247,0.0752
A17,a,FLC,1.0687,1.0871,0.9764,0.8690,0.9087,0.9278,1.0603,0.0756
A18,a,FLC,0.3135,0.3576,0.4859,0.5259,0.5320,0.5304,0.5094,0.0755
A02,b,FLC,0.4562,0.4524,0.4754,0.5437,0.4797,0.5650,0.5106,0.0742
A03,b,FLC,0.2644,0.3472,0.3217,0.3543,0.3570,0.3201,0.4429,0.0751
A04,b,FLC,0.6033,0.7018,0.6778,0.5936,0.9109,0.7418,0.7803,0.0753
A08,b,FLC,0.2693,0.2736,0.2754,0.2933,0.2843,0.3334,0.4135,0.0759
A10,b,FLC,0.1351,0.0982,0.0989,0.1232,0.1127,0.1044,0.0973,0.0749
A12,b,FLC,0.2155,0.2341,0.2295,0.2191,0.2265,0.2370,0.2772,0.0758
A17,b,FLC,1.1127,1.3265,0.8869,0.7896,0.9029,1.0563,1.1517,0.0742
A18,b,FLC,0.3614,0.4496,0.4499,0.5092,0.4917,0.5286,0.5781,0.0745
