name,line,type,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
Blank_BA,Blank,BA,1,2,5,NA,0.69,0.73,5.7
Blank_FLC,Blank,FLC,1,1,1,NA,NA,NA,4.8
yAG10_BA_a,yAG10,BA,9,10,11,0.09,0.12,0.15,144
yAG10_BA_b,yAG10,BA,10,11,12,0.06,0.08,0.11,161.7
yAG10_FLC_a,yAG10,FLC,0,4,16,NA,0.93,0.68,34.8
yAG10_FLC_b,yAG10,FLC,0,6,14,NA,0.87,0.66,37
yAG100_BA_a,yAG100,BA,13,16,17,0.54,0.24,0.23,130.9
yAG100_BA_b,yAG100,BA,11,14,17,0.68,0.37,0.32,112.1
yAG100_FLC_a,yAG100,FLC,17,22,25,0.76,0.33,0.3,84.4
yAG100_FLC_b,yAG100,FLC,19,22,24,0.77,0.33,0.28,153
yAG104_BA_a,yAG104,BA,11,12,13,0.25,0.2,0.19,110.3
yAG104_BA_b,yAG104,BA,11,13,13,0.57,0.21,0.2,151.4
yAG104_FLC_a,yAG104,FLC,0,14,15,NA,0.76,0.62,29.2
yAG104_FLC_b,yAG104,FLC,0,15,19,NA,0.7,0.54,41.7
yAG106_BA_a,yAG106,BA,9,11,12,0.3,0.19,0.2,113.3
yAG106_BA_b,yAG106,BA,9,10,11,0.19,0.17,0.2,154.5
yAG106_FLC_a,yAG106,FLC,5,17,22,0.75,0.47,0.43,79.4
yAG106_FLC_b,yAG106,FLC,9,18,21,0.64,0.37,0.34,64
yAG107_BA_a,yAG107,BA,9,10,12,0.2,0.15,0.2,134.6
yAG107_FLC_a,yAG107,FLC,0,17,20,NA,0.64,0.44,92.7
yAG107_FLC_b,yAG107,FLC,0,16,20,NA,0.72,0.54,48.5
yAG108_BA_a,yAG108,BA,7,9,10,0.3,0.2,0.22,126.8
yAG108_BA_b,yAG108,BA,9,9,12,0.08,0.07,0.24,122.7
yAG108_FLC_a,yAG108,FLC,0,6,21,NA,0.93,0.7,22.7
yAG108_FLC_b,yAG108,FLC,0,12,20,NA,0.62,0.57,44.3
yAG109_BA_a,yAG109,BA,9,10,11,0.37,0.16,0.16,152.2
