name,line,type,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
Blank_BA,Blank,BA,1,1,1,NA,NA,NA,0.1
Blank_FLC,Blank,FLC,1,1,1,NA,NA,NA,0
HSC002_BA_a,HSC002,BA,9,11,14,0.1,0.15,0.24,125.2
HSC002_BA_b,HSC002,BA,11,14,15,0.07,0.16,0.16,135.1
HSC002_FLC_a,HSC002,FLC,3,18,21,0.75,0.56,0.43,63.2
HSC002_FLC_b,HSC002,FLC,5,19,21,0.72,0.5,0.38,73.3
HSC003_BA_a,HSC003,BA,0,4,7,NA,0.62,0.6,17.2
HSC003_BA_b,HSC003,BA,1,4,9,NA,0.52,0.65,14.1
HSC003_FLC_a,HSC003,FLC,8,12,13,0.18,0.24,0.22,63.4
HSC003_FLC_b,HSC003,FLC,6,11,13,0.34,0.36,0.3,54.9
HSC005_BA_a,HSC005,BA,3,7,11,0.48,0.49,0.46,40.7
HSC005_BA_b,HSC005,BA,3,8,10,0.44,0.49,0.42,31.2
HSC005_FLC_a,HSC005,FLC,4,8,11,0.62,0.43,0.41,38.5
HSC005_FLC_b,HSC005,FLC,7,10,13,0.43,0.32,0.34,40.4
HSC007_BA_a,HSC007,BA,11,12,14,0.07,0.09,0.16,186.7
HSC007_BA_b,HSC007,BA,11,13,14,0.07,0.12,0.14,162.9
HSC007_FLC_a,HSC007,FLC,11,18,21,0.48,0.36,0.32,94.4
HSC007_FLC_b,HSC007,FLC,8,17,21,0.58,0.42,0.37,95.7
HSC008_BA_a,HSC008,BA,10,11,13,0.1,0.14,0.2,104.8
HSC008_BA_b,HSC008,BA,10,12,13,0.1,0.16,0.17,123.6
HSC008_FLC_a,HSC008,FLC,7,17,19,0.61,0.47,0.35,90.4
HSC008_FLC_b,HSC008,FLC,13,19,22,0.62,0.34,0.32,98.5
HSC013_BA_a,HSC013,BA,4,8,11,0.41,0.35,0.41,34
HSC013_BA_b,HSC013,BA,1,6,8,NA,0.6,0.48,35.6
HSC013_FLC_a,HSC013,FLC,0,19,26,NA,0.52,0.5,58.5
HSC013_FLC_b,HSC013,FLC,16,20,22,0.64,0.32,0.26,129.4
HSC014_BA_a,HSC014,BA,12,14,14,0.06,0.1,0.09,168.8
HSC014_BA_b,HSC014,BA,14,16,16,0.05,0.09,0.08,155.3
HSC014_FLC_a,HSC014,FLC,15,21,23,0.66,0.3,0.29,129.1
HSC014_FLC_b,HSC014,FLC,16,19,21,0.6,0.31,0.25,119.3
HSC015_BA_a,HSC015,BA,10,11,13,0.06,0.09,0.16,146.2
HSC015_BA_b,HSC015,BA,10,11,12,0.08,0.12,0.15,159.6
HSC015_FLC_a,HSC015,FLC,6,17,19,0.71,0.39,0.34,102.5
HSC015_FLC_b,HSC015,FLC,13,18,20,0.72,0.32,0.29,132.1
HSC017_BA_a,HSC017,BA,3,5,9,0.72,0.46,0.48,40.6
HSC017_BA_b,HSC017,BA,3,8,10,0.5,0.55,0.44,29.3
HSC017_FLC_a,HSC017,FLC,7,13,14,0.18,0.31,0.27,44.6
HSC017_FLC_b,HSC017,FLC,7,12,14,0.23,0.37,0.31,47.8
HSC020_BA_a,HSC020,BA,10,11,13,0.05,0.08,0.16,135.1
HSC020_BA_b,HSC020,BA,11,12,13,0.09,0.11,0.14,118
HSC020_FLC_a,HSC020,FLC,9,17,19,0.75,0.37,0.32,113.5
HSC020_FLC_b,HSC020,FLC,14,18,20,0.67,0.31,0.28,125.8
HSC024_BA_a,HSC024,BA,3,8,10,0.35,0.51,0.41,34.6
HSC024_BA_b,HSC024,BA,8,12,13,0.37,0.27,0.25,52.9
HSC024_FLC_a,HSC024,FLC,15,16,17,0.06,0.07,0.09,120.1
HSC024_FLC_b,HSC024,FLC,15,16,17,0.06,0.08,0.1,107.3
HSC027_BA_a,HSC027,BA,3,8,11,0.43,0.53,0.45,32.7
HSC027_BA_b,HSC027,BA,5,9,12,0.37,0.4,0.41,44.2
HSC027_FLC_a,HSC027,FLC,7,12,14,0.3,0.33,0.31,60.7
HSC027_FLC_b,HSC027,FLC,7,11,13,0.38,0.31,0.27,70.4
HSC028_BA_a,HSC028,BA,10,14,15,0.07,0.2,0.19,122.7
HSC028_BA_b,HSC028,BA,9,11,13,0.09,0.16,0.21,124.5
HSC028_FLC_a,HSC028,FLC,14,19,21,0.64,0.3,0.28,128.6
HSC028_FLC_b,HSC028,FLC,13,19,21,0.6,0.3,0.28,125
HSC029_BA_a,HSC029,BA,12,14,15,0.09,0.11,0.13,115.3
HSC029_BA_b,HSC029,BA,12,14,15,0.11,0.14,0.15,173.5
HSC029_FLC_a,HSC029,FLC,15,18,20,0.61,0.29,0.26,141.4
HSC029_FLC_b,HSC029,FLC,9,18,19,0.8,0.36,0.31,112.9
HSC030_BA_a,HSC030,BA,10,11,12,0.1,0.11,0.13,147.8
HSC030_BA_b,HSC030,BA,10,12,13,0.09,0.13,0.15,172.9
HSC030_FLC_a,HSC030,FLC,16,17,19,0.43,0.28,0.22,148.5
HSC030_FLC_b,HSC030,FLC,16,18,20,0.46,0.23,0.21,157.5
HSC038_BA_a,HSC038,BA,9,11,12,0.09,0.17,0.18,112
HSC038_BA_b,HSC038,BA,10,12,13,0.08,0.15,0.15,119.9
HSC038_FLC_a,HSC038,FLC,4,17,19,0.85,0.47,0.37,98.6
HSC038_FLC_b,HSC038,FLC,9,18,20,0.7,0.37,0.32,102.7
HSC041_BA_a,HSC041,BA,9,10,11,0.08,0.11,0.13,165.6
HSC041_BA_b,HSC041,BA,11,13,14,0.06,0.12,0.13,126.3
HSC041_FLC_a,HSC041,FLC,14,18,19,0.37,0.22,0.21,142.9
HSC041_FLC_b,HSC041,FLC,13,18,19,0.38,0.24,0.22,113.7
HSC042_BA_a,HSC042,BA,8,9,10,0.14,0.17,0.18,124.2
HSC042_BA_b,HSC042,BA,10,11,13,0.08,0.12,0.17,167.6
HSC042_FLC_a,HSC042,FLC,15,18,21,0.72,0.35,0.3,116.3
HSC042_FLC_b,HSC042,FLC,14,18,21,0.8,0.4,0.32,108.6
HSC043_BA_a,HSC043,BA,9,10,10,0.08,0.11,0.1,149.7
HSC043_BA_b,HSC043,BA,9,10,10,0.12,0.12,0.11,92.8
HSC043_FLC_a,HSC043,FLC,0,17,20,NA,0.79,0.5,97.2
HSC043_FLC_b,HSC043,FLC,1,18,21,NA,0.66,0.47,78.1
HSC044_BA_a,HSC044,BA,10,10,11,0.08,0.07,0.11,148
HSC044_BA_b,HSC044,BA,11,12,13,0.06,0.06,0.09,145.1
HSC044_FLC_a,HSC044,FLC,0,16,18,NA,0.77,0.53,109
HSC044_FLC_b,HSC044,FLC,1,18,20,NA,0.59,0.45,73.2
HSC045_BA_a,HSC045,BA,10,11,13,0.08,0.12,0.22,45.5
HSC045_BA_b,HSC045,BA,11,12,15,0.08,0.11,0.24,50.8
HSC045_FLC_a,HSC045,FLC,13,14,15,0.07,0.09,0.12,81.4
HSC045_FLC_b,HSC045,FLC,11,12,14,0.13,0.09,0.16,108.8
HSC046_BA_a,HSC046,BA,10,11,12,0.12,0.11,0.13,99.3
HSC046_BA_b,HSC046,BA,9,10,11,0.08,0.11,0.12,137.8
HSC046_FLC_a,HSC046,FLC,0,16,17,NA,0.54,0.41,90.5
HSC046_FLC_b,HSC046,FLC,0,16,19,NA,0.69,0.5,64.7
HSC047_BA_a,HSC047,BA,8,10,10,0.1,0.15,0.14,134
HSC047_BA_b,HSC047,BA,11,12,13,0.08,0.08,0.12,161
HSC047_FLC_a,HSC047,FLC,10,18,20,0.75,0.38,0.31,110.6
HSC047_FLC_b,HSC047,FLC,0,15,20,NA,0.89,0.64,30.6
HSC050_BA_a,HSC050,BA,9,10,11,0.09,0.11,0.16,125.4
HSC050_BA_b,HSC050,BA,10,11,11,0.1,0.1,0.1,147.4
HSC050_FLC_a,HSC050,FLC,15,16,18,0.63,0.38,0.25,137
HSC050_FLC_b,HSC050,FLC,14,17,19,0.73,0.35,0.3,101.4
HSC051_BA_a,HSC051,BA,11,12,13,0.07,0.1,0.13,143.9
HSC051_BA_b,HSC051,BA,12,14,15,0.08,0.13,0.15,146.9
HSC051_FLC_a,HSC051,FLC,19,21,24,0.13,0.13,0.18,127.9
HSC051_FLC_b,HSC051,FLC,19,21,23,0.26,0.16,0.17,136.7
HSC052_BA_a,HSC052,BA,9,11,13,0.13,0.19,0.23,66.6
HSC052_BA_b,HSC052,BA,7,11,14,0.21,0.31,0.31,45
HSC052_FLC_a,HSC052,FLC,8,13,14,0.2,0.29,0.26,57.6
HSC052_FLC_b,HSC052,FLC,4,11,13,0.42,0.54,0.4,41.9
HSC053_BA_a,HSC053,BA,10,13,15,0.12,0.2,0.23,62
HSC053_BA_b,HSC053,BA,4,8,11,0.39,0.4,0.39,44.5
HSC053_FLC_a,HSC053,FLC,9,13,14,0.34,0.26,0.22,83.1
HSC053_FLC_b,HSC053,FLC,5,12,13,0.36,0.36,0.3,61.5
HSC054_BA_a,HSC054,BA,12,13,14,0.1,0.1,0.12,176
HSC054_BA_b,HSC054,BA,13,14,15,0.09,0.1,0.14,130.5
HSC054_FLC_a,HSC054,FLC,11,18,20,0.42,0.32,0.28,127.4
HSC054_FLC_b,HSC054,FLC,1,17,22,NA,0.53,0.45,81.4
HSC055_BA_a,HSC055,BA,10,12,13,0.06,0.11,0.15,115.3
HSC055_BA_b,HSC055,BA,11,12,12,0.06,0.08,0.08,159.6
HSC055_FLC_a,HSC055,FLC,15,18,19,0.57,0.25,0.25,127.6
HSC055_FLC_b,HSC055,FLC,7,17,19,0.6,0.41,0.32,92.2
HSC057_BA_a,HSC057,BA,10,11,12,0.06,0.09,0.12,119.9
HSC057_BA_b,HSC057,BA,10,12,13,0.07,0.13,0.15,107.8
HSC057_FLC_a,HSC057,FLC,13,17,19,0.27,0.21,0.23,114.3
HSC057_FLC_b,HSC057,FLC,13,17,19,0.3,0.22,0.24,108.4
HSC058_BA_a,HSC058,BA,11,12,13,0.06,0.07,0.11,154.2
HSC058_BA_b,HSC058,BA,11,12,14,0.08,0.07,0.14,169.8
HSC058_FLC_a,HSC058,FLC,15,17,18,0.46,0.23,0.21,156.7
HSC058_FLC_b,HSC058,FLC,2,16,18,0.63,0.41,0.34,113.5
HSC061_BA_a,HSC061,BA,10,11,12,0.08,0.1,0.15,153.9
HSC061_BA_b,HSC061,BA,12,13,14,0.06,0.09,0.13,107.2
HSC061_FLC_a,HSC061,FLC,5,18,20,0.76,0.45,0.37,81
HSC061_FLC_b,HSC061,FLC,2,18,20,0.74,0.57,0.41,68.9
HSC062_BA_a,HSC062,BA,10,11,12,0.13,0.12,0.14,121.7
HSC062_BA_b,HSC062,BA,11,12,13,0.12,0.11,0.14,211
HSC062_FLC_a,HSC062,FLC,16,19,21,0.11,0.14,0.16,185.1
HSC062_FLC_b,HSC062,FLC,19,20,23,0.09,0.09,0.14,217.1
HSC066_BA_a,HSC066,BA,5,7,13,0.34,0.32,0.48,45.2
HSC066_BA_b,HSC066,BA,5,9,12,0.36,0.47,0.41,37.2
HSC066_FLC_a,HSC066,FLC,12,14,15,0.2,0.14,0.16,93.5
HSC066_FLC_b,HSC066,FLC,11,14,15,0.19,0.18,0.17,99.7
HSC071_BA_a,HSC071,BA,4,8,10,0.4,0.42,0.38,42.9
HSC071_BA_b,HSC071,BA,5,8,11,0.25,0.36,0.38,44.5
HSC071_FLC_a,HSC071,FLC,13,14,15,0.1,0.09,0.11,92.1
HSC071_FLC_b,HSC071,FLC,13,14,15,0.11,0.1,0.13,96.8
HSC072_BA_a,HSC072,BA,2,4,8,0.62,0.51,0.54,33.8
HSC072_BA_b,HSC072,BA,2,7,10,0.26,0.54,0.47,30.3
HSC072_FLC_a,HSC072,FLC,8,12,14,0.2,0.29,0.25,66.3
HSC072_FLC_b,HSC072,FLC,9,13,14,0.21,0.22,0.21,75.5
HSC073_BA_a,HSC073,BA,3,8,10,0.41,0.48,0.4,42.1
HSC073_BA_b,HSC073,BA,6,11,13,0.33,0.35,0.31,45.8
HSC073_FLC_a,HSC073,FLC,5,11,13,0.36,0.5,0.39,39.8
HSC073_FLC_b,HSC073,FLC,4,11,13,0.5,0.46,0.38,49.1
HSC074_BA_a,HSC074,BA,11,12,14,0.07,0.09,0.15,195
HSC074_BA_b,HSC074,BA,11,13,14,0.07,0.11,0.14,138.6
HSC074_FLC_a,HSC074,FLC,13,18,21,0.32,0.25,0.26,113
HSC074_FLC_b,HSC074,FLC,12,18,20,0.6,0.32,0.28,109.4
HSC075_BA_a,HSC075,BA,2,6,9,0.32,0.52,0.47,36
HSC075_BA_b,HSC075,BA,5,9,12,0.31,0.42,0.39,32.6
HSC075_FLC_a,HSC075,FLC,4,11,13,0.4,0.49,0.44,35.9
HSC075_FLC_b,HSC075,FLC,4,10,13,0.3,0.49,0.41,44.3
HSC077_BA_a,HSC077,BA,14,15,16,0.08,0.08,0.1,214.9
HSC077_BA_b,HSC077,BA,13,15,16,0.1,0.12,0.14,127.2
HSC077_FLC_a,HSC077,FLC,5,16,19,0.7,0.51,0.36,103.8
HSC077_FLC_b,HSC077,FLC,4,18,20,0.74,0.45,0.36,101.5
HSC078_BA_a,HSC078,BA,10,11,12,0.12,0.13,0.13,150.5
HSC078_BA_b,HSC078,BA,11,12,14,0.1,0.1,0.16,154.7
HSC078_FLC_a,HSC078,FLC,6,17,20,0.8,0.47,0.4,102
HSC078_FLC_b,HSC078,FLC,7,18,21,0.71,0.43,0.37,109.4
HSC080_BA_a,HSC080,BA,13,14,14,0.06,0.08,0.08,108.5
HSC080_BA_b,HSC080,BA,12,13,14,0.05,0.06,0.09,105.1
HSC080_FLC_a,HSC080,FLC,15,17,19,0.47,0.23,0.22,143.3
HSC080_FLC_b,HSC080,FLC,15,18,19,0.41,0.22,0.2,122.3
HSC081_BA_a,HSC081,BA,8,10,11,0.06,0.13,0.16,147.8
HSC081_BA_b,HSC081,BA,9,10,12,0.09,0.12,0.18,92.7
HSC081_FLC_a,HSC081,FLC,15,17,18,0.45,0.2,0.19,131
HSC081_FLC_b,HSC081,FLC,15,18,19,0.51,0.23,0.22,150.4
HSC082_BA_a,HSC082,BA,9,11,12,0.08,0.13,0.17,133.6
HSC082_BA_b,HSC082,BA,11,13,14,0.06,0.14,0.16,118.8
HSC082_FLC_a,HSC082,FLC,16,20,23,0.28,0.21,0.23,101.2
HSC082_FLC_b,HSC082,FLC,15,19,23,0.3,0.24,0.25,95.8
HSC083_BA_a,HSC083,BA,10,12,14,0.09,0.15,0.2,70.9
HSC083_BA_b,HSC083,BA,12,14,16,0.09,0.17,0.2,66
HSC083_FLC_a,HSC083,FLC,0,13,21,NA,0.75,0.61,20.3
HSC083_FLC_b,HSC083,FLC,0,15,17,NA,0.53,0.4,39.4
HSC086_BA_a,HSC086,BA,6,10,12,0.21,0.32,0.31,30.8
HSC086_BA_b,HSC086,BA,6,10,12,0.23,0.36,0.33,31.8
HSC086_FLC_a,HSC086,FLC,1,2,2,NA,0.6,0.44,47.4
HSC086_FLC_b,HSC086,FLC,2,2,3,0.15,0.12,0.26,47.6
HSC090_BA_a,HSC090,BA,12,13,15,0.08,0.1,0.16,119.9
HSC090_BA_b,HSC090,BA,10,12,14,0.14,0.18,0.22,118.7
HSC090_FLC_a,HSC090,FLC,15,19,25,0.47,0.3,0.36,95.3
HSC090_FLC_b,HSC090,FLC,14,17,21,0.49,0.31,0.32,99.1
HSC094_BA_a,HSC094,BA,11,13,15,0.09,0.17,0.19,111.9
HSC094_BA_b,HSC094,BA,12,14,16,0.07,0.14,0.17,118.7
HSC094_FLC_a,HSC094,FLC,2,18,21,0.73,0.51,0.43,38.9
HSC094_FLC_b,HSC094,FLC,2,18,21,1,0.52,0.44,51.4
HSC096_BA_a,HSC096,BA,2,7,9,0.58,0.58,0.46,34.5
HSC096_BA_b,HSC096,BA,3,8,11,0.45,0.49,0.44,31.8
HSC096_FLC_a,HSC096,FLC,6,13,14,0.45,0.33,0.29,94.3
HSC096_FLC_b,HSC096,FLC,5,13,14,0.34,0.36,0.3,68.9
HSC097_BA_a,HSC097,BA,14,16,17,0.07,0.1,0.12,143.6
HSC097_BA_b,HSC097,BA,15,17,18,0.07,0.1,0.13,138.7
HSC097_FLC_a,HSC097,FLC,20,22,25,0.15,0.13,0.16,185.2
HSC097_FLC_b,HSC097,FLC,17,21,23,0.15,0.16,0.18,170.4
HSC099_BA_a,HSC099,BA,14,16,17,0.07,0.11,0.13,219.7
HSC099_BA_b,HSC099,BA,11,13,14,0.07,0.11,0.13,173.7
HSC099_FLC_a,HSC099,FLC,9,17,19,0.73,0.37,0.32,122
HSC099_FLC_b,HSC099,FLC,3,18,20,0.66,0.48,0.38,85.6
HSC100_BA_a,HSC100,BA,11,12,14,0.06,0.08,0.14,178.2
HSC100_BA_b,HSC100,BA,11,12,13,0.08,0.1,0.13,185.4
HSC100_FLC_a,HSC100,FLC,8,17,21,0.86,0.45,0.39,99.6
HSC100_FLC_b,HSC100,FLC,1,17,20,NA,0.56,0.45,74.2
HSC101_BA_a,HSC101,BA,7,10,11,0.29,0.28,0.25,69.3
HSC101_BA_b,HSC101,BA,5,8,11,0.35,0.39,0.38,56
HSC101_FLC_a,HSC101,FLC,9,11,13,0.19,0.18,0.21,88.6
HSC101_FLC_b,HSC101,FLC,4,9,11,0.36,0.45,0.35,59.6
HSC103_BA_a,HSC103,BA,8,11,14,0.25,0.25,0.31,65
HSC103_BA_b,HSC103,BA,4,6,10,0.46,0.41,0.47,47.3
HSC103_FLC_a,HSC103,FLC,6,12,14,0.35,0.39,0.34,52.1
HSC103_FLC_b,HSC103,FLC,3,11,12,0.44,0.5,0.36,68.7
HSC105_BA_a,HSC105,BA,12,13,15,0.07,0.08,0.15,88
HSC105_BA_b,HSC105,BA,14,16,17,0.1,0.1,0.12,75.2
HSC105_FLC_a,HSC105,FLC,1,1,1,NA,NA,NA,3.2
HSC105_FLC_b,HSC105,FLC,1,1,1,NA,NA,NA,2.9
HSC107_BA_a,HSC107,BA,2,7,9,0.52,0.46,0.44,46.3
HSC107_BA_b,HSC107,BA,8,11,13,0.15,0.27,0.27,43.4
HSC107_FLC_a,HSC107,FLC,10,12,13,0.24,0.17,0.18,60.7
HSC107_FLC_b,HSC107,FLC,10,13,14,0.22,0.18,0.19,50.9
HSC110_BA_a,HSC110,BA,9,11,13,0.07,0.15,0.19,94.6
HSC110_BA_b,HSC110,BA,9,11,12,0.15,0.16,0.18,70.6
HSC110_FLC_a,HSC110,FLC,7,9,11,0.64,0.38,0.31,58.1
HSC110_FLC_b,HSC110,FLC,1,8,10,NA,0.58,0.47,39.1
HSC111_BA_a,HSC111,BA,12,14,15,0.07,0.11,0.13,174
HSC111_BA_b,HSC111,BA,13,15,16,0.11,0.13,0.15,146.3
HSC111_FLC_a,HSC111,FLC,2,19,22,0.97,0.49,0.4,109.1
HSC111_FLC_b,HSC111,FLC,10,19,22,0.69,0.42,0.32,112.6
HSC112_BA_a,HSC112,BA,9,10,11,0.08,0.1,0.12,168.8
HSC112_BA_b,HSC112,BA,10,12,14,0.07,0.13,0.19,120.6
HSC112_FLC_a,HSC112,FLC,0,17,19,NA,0.71,0.47,117.4
HSC112_FLC_b,HSC112,FLC,6,17,18,0.79,0.39,0.31,154
HSC113_BA_a,HSC113,BA,6,8,12,0.15,0.24,0.38,36
HSC113_BA_b,HSC113,BA,11,13,17,0.13,0.18,0.28,35
HSC113_FLC_a,HSC113,FLC,8,10,11,0.16,0.16,0.17,43.1
HSC113_FLC_b,HSC113,FLC,9,10,12,0.12,0.14,0.21,21.8
