name,line,type,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
Blank_BA,Blank,BA,1,1,1,NA,NA,NA,3.3
Blank_FLC,Blank,FLC,1,1,1,NA,NA,NA,3.2
HSC106_BA_a,HSC106,BA,13,14,15,0.12,0.11,0.12,198.8
HSC106_BA_b,HSC106,BA,11,14,15,0.08,0.16,0.16,187.5
HSC106_FLC_a,HSC106,FLC,4,8,18,0.21,0.49,0.59,47.6
HSC106_FLC_b,HSC106,FLC,4,9,19,0.22,0.51,0.57,47.2
HSC107_BA_a,HSC107,BA,8,12,16,0.22,0.33,0.35,32.3
HSC107_BA_b,HSC107,BA,6,11,14,0.31,0.36,0.38,36.8
HSC107_FLC_a,HSC107,FLC,13,16,18,0.16,0.18,0.2,55.1
HSC107_FLC_b,HSC107,FLC,12,16,18,0.15,0.22,0.23,55.2
HSC109_BA_a,HSC109,BA,4,9,14,0.42,0.45,0.48,52.7
HSC109_BA_b,HSC109,BA,3,8,13,0.24,0.44,0.49,51.9
HSC109_FLC_a,HSC109,FLC,0,16,19,NA,0.64,0.49,99.3
HSC109_FLC_b,HSC109,FLC,0,14,20,NA,0.68,0.52,89.5
HSC110_BA_a,HSC110,BA,6,10,13,0.19,0.36,0.34,55.6
HSC110_BA_b,HSC110,BA,7,10,13,0.19,0.25,0.31,54.6
HSC110_FLC_a,HSC110,FLC,8,11,13,0.41,0.3,0.31,45.6
HSC110_FLC_b,HSC110,FLC,7,12,14,0.21,0.35,0.32,50.2
HSC111_BA_a,HSC111,BA,11,13,14,0.07,0.11,0.13,141.8
HSC111_BA_b,HSC111,BA,11,13,14,0.07,0.12,0.13,148.4
HSC111_FLC_a,HSC111,FLC,17,19,20,0.35,0.2,0.18,214.3
HSC111_FLC_b,HSC111,FLC,17,19,20,0.47,0.24,0.22,117.3
HSC112_BA_a,HSC112,BA,10,12,13,0.07,0.12,0.15,145.1
HSC112_BA_b,HSC112,BA,11,12,13,0.1,0.11,0.13,137.2
HSC112_FLC_a,HSC112,FLC,12,18,20,0.69,0.35,0.29,144.6
HSC112_FLC_b,HSC112,FLC,10,19,21,0.76,0.4,0.31,123.4
HSC113_BA_a,HSC113,BA,15,22,26,0.16,0.3,0.25,25.6
HSC113_BA_b,HSC113,BA,13,17,23,0.12,0.19,0.31,25.4
HSC113_FLC_a,HSC113,FLC,11,13,16,0.07,0.11,0.22,26.7
HSC113_FLC_b,HSC113,FLC,11,13,18,0.09,0.13,0.3,34.1
HSC114_BA_a,HSC114,BA,9,12,16,0.14,0.22,0.31,50.7
HSC114_BA_b,HSC114,BA,8,10,14,0.14,0.2,0.3,50.1
HSC114_FLC_a,HSC114,FLC,8,10,13,0.1,0.12,0.31,32.7
HSC114_FLC_b,HSC114,FLC,9,10,22,0.09,0.11,0.53,29.7
HSC115_BA_a,HSC115,BA,10,12,14,0.1,0.16,0.19,130.8
HSC115_BA_b,HSC115,BA,10,13,15,0.11,0.17,0.21,123.8
HSC115_FLC_a,HSC115,FLC,17,19,20,0.05,0.08,0.11,176.6
HSC115_FLC_b,HSC115,FLC,18,19,22,0.06,0.07,0.14,136.5
HSC116_BA_a,HSC116,BA,13,14,15,0.06,0.07,0.1,83.9
HSC116_BA_b,HSC116,BA,13,14,15,0.06,0.09,0.13,105.8
HSC116_FLC_a,HSC116,FLC,13,15,15,0.05,0.12,0.12,17.2
HSC116_FLC_b,HSC116,FLC,14,15,17,0.06,0.09,0.16,47.5
HSC117_BA_a,HSC117,BA,8,15,21,0.25,0.38,0.43,21.8
HSC117_BA_b,HSC117,BA,8,18,20,0.17,0.44,0.4,15.8
HSC117_FLC_a,HSC117,FLC,1,1,1,NA,NA,NA,3.5
HSC117_FLC_b,HSC117,FLC,1,1,1,NA,NA,NA,3.3
HSC119_BA_a,HSC119,BA,6,10,12,0.2,0.33,0.3,50.4
HSC119_BA_b,HSC119,BA,6,10,12,0.2,0.34,0.31,56.5
HSC119_FLC_a,HSC119,FLC,10,15,17,0.19,0.24,0.25,66.8
HSC119_FLC_b,HSC119,FLC,10,14,16,0.22,0.27,0.23,70.1
HSC120_BA_a,HSC120,BA,10,13,15,0.05,0.17,0.2,121.8
HSC120_BA_b,HSC120,BA,11,13,15,0.08,0.15,0.19,128.7
HSC120_FLC_a,HSC120,FLC,4,20,23,0.9,0.55,0.4,86.5
HSC120_FLC_b,HSC120,FLC,6,21,24,0.79,0.48,0.37,106.6
HSC121_BA_a,HSC121,BA,7,11,14,0.29,0.32,0.33,47
HSC121_BA_b,HSC121,BA,7,12,16,0.26,0.34,0.38,42.3
HSC121_FLC_a,HSC121,FLC,11,13,15,0.22,0.17,0.18,78.4
