name,line,type,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
BA_Blank,BA,Blank,1,1,4,NA,NA,0.72,6.3
Blank_FLC,Blank,FLC,0,1,2,NA,NA,0.64,6
HSC106_BA_a,HSC106,BA,13,14,16,0.07,0.07,0.14,231.5
HSC106_BA_b,HSC106,BA,12,14,15,0.04,0.1,0.12,217.5
HSC106_FLC_a,HSC106,FLC,3,4,13,0.56,0.34,0.65,41.5
HSC106_FLC_b,HSC106,FLC,3,4,14,0.41,0.4,0.7,37.6
HSC107_BA_a,HSC107,BA,8,11,13,0.18,0.23,0.26,53.8
HSC107_BA_b,HSC107,BA,7,10,13,0.43,0.33,0.37,48.1
HSC107_FLC_a,HSC107,FLC,4,12,14,0.33,0.49,0.36,41.8
HSC107_FLC_b,HSC107,FLC,4,12,14,0.37,0.46,0.39,44.3
HSC109_BA_a,HSC109,BA,5,9,13,0.18,0.41,0.4,61.3
HSC109_BA_b,HSC109,BA,4,8,11,0.19,0.42,0.42,55.7
HSC109_FLC_a,HSC109,FLC,0,18,19,NA,0.63,0.54,68
HSC109_FLC_b,HSC109,FLC,0,18,21,NA,0.72,0.49,67.1
HSC110_BA_a,HSC110,BA,9,11,13,0.33,0.25,0.27,85.3
HSC110_BA_b,HSC110,BA,6,10,12,0.67,0.36,0.37,59.2
HSC110_FLC_a,HSC110,FLC,8,11,14,0.33,0.3,0.35,57.8
HSC110_FLC_b,HSC110,FLC,5,10,15,0.7,0.46,0.48,40.8
HSC111_BA_a,HSC111,BA,9,11,12,0.08,0.14,0.18,162.2
HSC111_BA_b,HSC111,BA,10,11,12,0.05,0.07,0.11,165.5
HSC111_FLC_a,HSC111,FLC,0,17,19,NA,0.69,0.49,114.4
HSC111_FLC_b,HSC111,FLC,0,17,19,NA,0.64,0.47,117.8
HSC112_BA_a,HSC112,BA,10,11,11,0.07,0.1,0.09,181.8
HSC112_BA_b,HSC112,BA,9,9,11,0.09,0.08,0.17,155.9
HSC112_FLC_a,HSC112,FLC,0,15,19,NA,0.77,0.56,69.1
HSC112_FLC_b,HSC112,FLC,0,16,19,NA,0.73,0.55,77.8
HSC113_BA_a,HSC113,BA,1,14,16,NA,0.72,0.62,17.2
HSC113_BA_b,HSC113,BA,2,10,12,0.53,0.48,0.41,27.2
HSC113_FLC_a,HSC113,FLC,2,13,17,0.61,0.48,0.46,30.8
HSC113_FLC_b,HSC113,FLC,13,15,16,0.52,0.27,0.28,36.5
HSC114_BA_a,HSC114,BA,4,10,13,0.64,0.47,0.4,44.3
HSC114_BA_b,HSC114,BA,7,11,13,0.61,0.36,0.34,51.3
HSC114_FLC_a,HSC114,FLC,5,9,10,0.26,0.29,0.25,67.5
HSC114_FLC_b,HSC114,FLC,3,9,11,0.67,0.53,0.38,63.6
HSC115_BA_a,HSC115,BA,11,13,16,0.12,0.14,0.23,93.8
HSC115_BA_b,HSC115,BA,7,9,11,0.06,0.17,0.25,126.4
