"name","line","type","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope"
"Blank_BA","Blank","BA",1,1,1,NA,NA,NA,0.1
"Blank_FLC","Blank","FLC",1,1,1,NA,NA,NA,0.2
"yAG003_BA_a_B01","yAG003","BA",9,12,15,0.06,0.2,0.26,49.4
"yAG003_BA_a_B02","yAG003","BA",10,12,14,0.08,0.14,0.18,90.1
"yAG003_BA_b_B01","yAG003","BA",7,9,12,0.14,0.19,0.31,52.1
"yAG003_BA_b_B02","yAG003","BA",8,9,11,0.08,0.09,0.2,91.6
"yAG003_FLC_a_B01","yAG003","FLC",1,23,24,NA,0.47,0.36,10.8
"yAG003_FLC_a_B02","yAG003","FLC",1,1,1,NA,NA,NA,3.4
"yAG003_FLC_b_B01","yAG003","FLC",3,22,25,0.81,0.45,0.37,28.8
"yAG003_FLC_b_B02","yAG003","FLC",1,22,25,NA,0.58,0.42,12.8
"yAG029_BA_a_B01","yAG029","BA",9,11,12,0.09,0.17,0.18,120.4
"yAG029_BA_a_B02","yAG029","BA",8,11,12,0.07,0.18,0.19,102.8
"yAG029_BA_b_B01","yAG029","BA",9,11,12,0.1,0.14,0.17,133.5
"yAG029_BA_b_B02","yAG029","BA",8,10,13,0.13,0.2,0.3,65.7
"yAG029_FLC_a_B01","yAG029","FLC",0,18,21,NA,0.63,0.47,83.5
"yAG029_FLC_a_B02","yAG029","FLC",0,18,22,NA,0.64,0.48,34.3
"yAG029_FLC_b_B01","yAG029","FLC",2,19,23,0.94,0.53,0.43,79.3
"yAG029_FLC_b_B02","yAG029","FLC",1,20,23,NA,0.68,0.44,12.2
"yAG032_BA_a_B01","yAG032","BA",11,13,13,0.07,0.1,0.1,108.1
"yAG032_BA_a_B02","yAG032","BA",13,15,17,0.08,0.12,0.17,100.5
"yAG032_BA_b_B01","yAG032","BA",9,11,13,0.07,0.14,0.2,104.3
"yAG032_BA_b_B02","yAG032","BA",11,14,16,0.09,0.2,0.22,82.2
"yAG032_FLC_a_B01","yAG032","FLC",1,22,23,NA,0.39,0.33,37.9
"yAG032_FLC_a_B02","yAG032","FLC",2,22,25,0.75,0.5,0.39,16.5
"yAG032_FLC_b_B01","yAG032","FLC",3,22,24,0.31,0.35,0.3,55.3
"yAG032_FLC_b_B02","yAG032","FLC",13,24,25,0.72,0.32,0.27,35.6
"yAG043_BA_a_B01","yAG043","BA",12,14,16,0.06,0.12,0.18,102.4
"yAG043_BA_a_B02","yAG043","BA",15,17,19,0.12,0.13,0.16,87.8
"yAG043_BA_b_B01","yAG043","BA",13,15,16,0.09,0.11,0.14,130.6
"yAG043_BA_b_B02","yAG043","BA",12,13,16,0.08,0.11,0.19,61.5
"yAG043_FLC_a_B01","yAG043","FLC",0,14,22,NA,0.89,0.63,9.6
"yAG043_FLC_a_B02","yAG043","FLC",0,19,24,NA,0.6,0.49,6.7
"yAG043_FLC_b_B01","yAG043","FLC",1,19,25,NA,0.71,0.55,22
"yAG043_FLC_b_B02","yAG043","FLC",0,22,23,NA,0.49,0.44,37.1
"yAG046_BA_a_B01","yAG046","BA",13,14,16,0.09,0.1,0.14,110.5
"yAG046_BA_a_B02","yAG046","BA",12,15,21,0.06,0.17,0.29,54.9
"yAG046_BA_b_B01","yAG046","BA",9,9,12,0.08,0.07,0.23,101
"yAG046_BA_b_B02","yAG046","BA",11,13,14,0.11,0.15,0.15,74.7
"yAG046_FLC_a_B01","yAG046","FLC",0,16,23,NA,0.92,0.63,12
"yAG046_FLC_a_B02","yAG046","FLC",1,1,1,NA,NA,NA,0.9
"yAG046_FLC_b_B01","yAG046","FLC",1,1,1,NA,NA,NA,1
"yAG046_FLC_b_B02","yAG046","FLC",1,1,1,NA,NA,NA,2.1
"yAG054_BA_a_B01","yAG054","BA",16,17,19,0.06,0.07,0.13,91.8
"yAG054_BA_a_B02","yAG054","BA",15,17,19,0.06,0.09,0.15,95
"yAG054_BA_b_B01","yAG054","BA",16,17,18,0.13,0.11,0.12,115.4
"yAG054_BA_b_B02","yAG054","BA",17,18,19,0.08,0.09,0.11,100.6
"yAG054_FLC_a_B01","yAG054","FLC",0,2,13,NA,0.58,0.84,8
"yAG054_FLC_a_B02","yAG054","FLC",1,1,1,NA,NA,NA,0.6
"yAG054_FLC_b_B01","yAG054","FLC",1,1,1,NA,NA,NA,0
"yAG054_FLC_b_B02","yAG054","FLC",1,1,17,NA,NA,0.94,8.9
"yAG058_BA_a_B01","yAG058","BA",14,15,16,0.07,0.08,0.11,141.6
"yAG058_BA_a_B02","yAG058","BA",15,16,17,0.06,0.07,0.1,135
"yAG058_BA_b_B01","yAG058","BA",11,13,14,0.07,0.12,0.15,115.7
"yAG058_BA_b_B02","yAG058","BA",14,15,16,0.06,0.08,0.11,116.1
"yAG058_FLC_a_B01","yAG058","FLC",0,18,19,NA,0.88,0.76,5.2
"yAG058_FLC_a_B02","yAG058","FLC",0,4,23,NA,0.87,0.68,7
"yAG058_FLC_b_B01","yAG058","FLC",0,18,22,NA,0.94,0.62,7.4
"yAG058_FLC_b_B02","yAG058","FLC",0,1,23,NA,NA,0.67,5
"yAG060_BA_a_B01","yAG060","BA",12,14,15,0.11,0.14,0.16,76.2
"yAG060_BA_a_B02","yAG060","BA",10,11,14,0.12,0.12,0.24,93.1
"yAG060_BA_b_B01","yAG060","BA",12,14,15,0.11,0.15,0.16,82
"yAG060_BA_b_B02","yAG060","BA",13,14,17,0.07,0.09,0.21,94
"yAG060_FLC_a_B01","yAG060","FLC",3,22,25,0.36,0.46,0.35,15.1
"yAG060_FLC_a_B02","yAG060","FLC",19,23,26,0.85,0.37,0.3,81.3
"yAG060_FLC_b_B01","yAG060","FLC",19,22,25,0.61,0.28,0.29,90.8
"yAG060_FLC_b_B02","yAG060","FLC",15,21,24,0.73,0.39,0.32,60.4
"yAG104_BA_a_B01","yAG104","BA",17,20,21,0.12,0.13,0.14,96.9
"yAG104_BA_a_B02","yAG104","BA",14,16,18,0.08,0.11,0.17,97.9
"yAG104_BA_b_B01","yAG104","BA",15,16,24,0.08,0.1,0.31,71.4
"yAG104_BA_b_B02","yAG104","BA",12,14,16,0.09,0.14,0.2,86.7
"yAG104_FLC_a_B01","yAG104","FLC",9,16,25,0.6,0.35,0.5,35.5
"yAG104_FLC_a_B02","yAG104","FLC",11,15,19,0.77,0.41,0.37,53.2
"yAG104_FLC_b_B01","yAG104","FLC",10,17,24,0.55,0.33,0.44,42.1
"yAG104_FLC_b_B02","yAG104","FLC",11,18,21,0.33,0.3,0.3,59.1
"yAG106_BA_a_B01","yAG106","BA",15,16,17,0.08,0.09,0.11,153
"yAG106_BA_a_B02","yAG106","BA",10,13,14,0.07,0.17,0.17,98.9
"yAG106_BA_b_B01","yAG106","BA",12,14,15,0.06,0.1,0.12,138.9
"yAG106_BA_b_B02","yAG106","BA",10,12,14,0.1,0.16,0.18,120.9
"yAG106_FLC_a_B01","yAG106","FLC",7,17,20,0.61,0.44,0.38,68.6
"yAG106_FLC_a_B02","yAG106","FLC",11,19,20,0.4,0.34,0.31,60.4
"yAG106_FLC_b_B01","yAG106","FLC",8,17,21,0.59,0.41,0.37,63.7
"yAG106_FLC_b_B02","yAG106","FLC",11,20,22,0.49,0.34,0.3,64.1
"yAG109_BA_a_B01","yAG109","BA",12,13,15,0.07,0.1,0.18,144.5
"yAG109_BA_a_B02","yAG109","BA",16,17,18,0.07,0.08,0.12,123.4
"yAG109_BA_b_B01","yAG109","BA",12,13,14,0.07,0.1,0.14,163.1
"yAG109_BA_b_B02","yAG109","BA",7,9,10,0.06,0.16,0.18,100.1
"yAG109_FLC_a_B01","yAG109","FLC",0,8,23,NA,0.86,0.67,21.5
"yAG109_FLC_a_B02","yAG109","FLC",0,9,24,NA,0.92,0.63,8
"yAG109_FLC_b_B01","yAG109","FLC",0,0,22,NA,NA,0.74,8.4
"yAG109_FLC_b_B02","yAG109","FLC",0,10,24,NA,0.96,0.65,5.1
"yAG110_BA_a_B01","yAG110","BA",13,15,17,0.06,0.12,0.16,112.7
"yAG110_BA_a_B02","yAG110","BA",11,14,15,0.1,0.16,0.17,103.1
"yAG110_BA_b_B01","yAG110","BA",14,14,16,0.07,0.07,0.13,133.2
"yAG110_BA_b_B02","yAG110","BA",10,11,13,0.17,0.14,0.21,107.3
"yAG110_FLC_a_B01","yAG110","FLC",0,21,25,NA,0.64,0.48,20.3
"yAG110_FLC_a_B02","yAG110","FLC",0,20,24,NA,0.56,0.43,26.8
"yAG110_FLC_b_B01","yAG110","FLC",3,19,26,0.92,0.58,0.49,27
"yAG110_FLC_b_B02","yAG110","FLC",0,18,26,NA,0.63,0.53,15
"yAG112_BA_a_B01","yAG112","BA",10,11,13,0.1,0.13,0.22,60.2
"yAG112_BA_a_B02","yAG112","BA",16,18,24,0.08,0.11,0.24,69
"yAG112_BA_b_B01","yAG112","BA",14,15,16,0.06,0.08,0.11,85.2
"yAG112_BA_b_B02","yAG112","BA",12,16,18,0.08,0.16,0.2,76.7
"yAG112_FLC_a_B01","yAG112","FLC",3,21,25,0.25,0.64,0.42,9.4
"yAG112_FLC_a_B02","yAG112","FLC",2,18,25,0.81,0.6,0.5,17.6
"yAG112_FLC_b_B01","yAG112","FLC",0,19,20,NA,0.57,0.51,13.6
"yAG112_FLC_b_B02","yAG112","FLC",3,17,20,0.65,0.64,0.54,13.9
"yAG113_BA_a_B01","yAG113","BA",11,13,15,0.1,0.13,0.17,93.4
"yAG113_BA_a_B02","yAG113","BA",12,14,16,0.07,0.1,0.17,89.6
"yAG113_BA_b_B01","yAG113","BA",11,14,16,0.07,0.17,0.19,84.2
"yAG113_BA_b_B02","yAG113","BA",12,13,15,0.09,0.11,0.16,110.7
"yAG113_FLC_a_B01","yAG113","FLC",7,19,25,0.57,0.42,0.45,40.7
"yAG113_FLC_a_B02","yAG113","FLC",1,18,23,NA,0.5,0.45,57.8
"yAG113_FLC_b_B01","yAG113","FLC",7,19,21,0.74,0.44,0.39,54.7
"yAG113_FLC_b_B02","yAG113","FLC",4,21,22,0.83,0.42,0.39,44.6
"yAG116_BA_a_B01","yAG116","BA",11,13,15,0.09,0.14,0.16,117.4
"yAG116_BA_a_B02","yAG116","BA",9,12,13,0.08,0.17,0.18,106.8
"yAG116_BA_b_B01","yAG116","BA",9,11,13,0.11,0.18,0.2,114.4
"yAG116_BA_b_B02","yAG116","BA",8,11,12,0.07,0.18,0.19,108.2
"yAG116_FLC_a_B01","yAG116","FLC",0,14,15,NA,0.83,0.73,14.1
"yAG116_FLC_a_B02","yAG116","FLC",0,17,23,NA,0.91,0.62,10
"yAG116_FLC_b_B01","yAG116","FLC",0,17,26,NA,0.87,0.62,8.8
"yAG116_FLC_b_B02","yAG116","FLC",0,18,24,NA,0.77,0.56,13.9
"yAG117_BA_a_B01","yAG117","BA",13,14,16,0.08,0.09,0.15,145.3
"yAG117_BA_a_B02","yAG117","BA",13,14,16,0.08,0.1,0.16,74
"yAG117_BA_b_B01","yAG117","BA",13,14,15,0.06,0.08,0.11,152.4
"yAG117_BA_b_B02","yAG117","BA",16,20,22,0.1,0.14,0.17,96.1
"yAG117_FLC_a_B01","yAG117","FLC",0,19,24,NA,0.67,0.51,31.6
"yAG117_FLC_a_B02","yAG117","FLC",1,1,1,NA,NA,NA,0.8
"yAG117_FLC_b_B01","yAG117","FLC",0,19,20,NA,0.68,0.61,24.8
"yAG117_FLC_b_B02","yAG117","FLC",1,1,1,NA,NA,NA,3.4
"yAG118_BA_a_B01","yAG118","BA",12,15,16,0.09,0.15,0.16,125.4
"yAG118_BA_a_B02","yAG118","BA",10,11,14,0.08,0.12,0.22,114.4
"yAG118_BA_b_B01","yAG118","BA",11,14,16,0.13,0.19,0.2,109.1
"yAG118_BA_b_B02","yAG118","BA",11,14,15,0.08,0.16,0.18,133.2
"yAG118_FLC_a_B01","yAG118","FLC",1,19,23,NA,0.62,0.5,21.2
"yAG118_FLC_a_B02","yAG118","FLC",0,17,19,NA,0.61,0.53,55.8
"yAG118_FLC_b_B01","yAG118","FLC",0,19,20,NA,0.66,0.57,10.8
"yAG118_FLC_b_B02","yAG118","FLC",1,19,22,NA,0.53,0.42,75.2
"yAG119_BA_a_B01","yAG119","BA",14,16,17,0.1,0.13,0.14,108.9
"yAG119_BA_a_B02","yAG119","BA",14,16,17,0.07,0.1,0.14,117.4
"yAG119_BA_b_B01","yAG119","BA",15,16,18,0.07,0.08,0.14,96.6
"yAG119_BA_b_B02","yAG119","BA",12,14,15,0.08,0.1,0.13,106.5
"yAG119_FLC_a_B01","yAG119","FLC",1,19,24,NA,0.54,0.45,48.2
"yAG119_FLC_a_B02","yAG119","FLC",1,18,23,NA,0.76,0.54,18.1
"yAG119_FLC_b_B01","yAG119","FLC",0,20,21,NA,0.65,0.57,24.1
"yAG119_FLC_b_B02","yAG119","FLC",0,18,23,NA,0.66,0.5,37.5
"yAG121_BA_a_B01","yAG121","BA",12,13,14,0.08,0.1,0.14,92.2
"yAG121_BA_a_B02","yAG121","BA",10,11,12,0.08,0.12,0.15,108.2
"yAG121_BA_b_B01","yAG121","BA",9,12,14,0.08,0.17,0.24,112.9
"yAG121_BA_b_B02","yAG121","BA",12,13,15,0.07,0.09,0.14,107.5
"yAG121_FLC_a_B01","yAG121","FLC",7,22,24,0.74,0.42,0.35,29.1
"yAG121_FLC_a_B02","yAG121","FLC",1,21,24,NA,0.77,0.49,7
"yAG121_FLC_b_B01","yAG121","FLC",1,22,25,NA,0.5,0.39,16.9
