name,line,type,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
Blank_BA,Blank,BA,1,1,1,NA,NA,NA,0.1
Blank_FLC,Blank,FLC,1,1,1,NA,NA,NA,0.1
HSC001_BA_B03_a,HSC001,BA,13,14,15,0.09,0.08,0.09,205.8
HSC001_BA_B03_b,HSC001,BA,15,16,17,0.06,0.07,0.1,199.4
HSC001_FLC_B03_a,HSC001,FLC,20,22,25,0.06,0.09,0.15,174.8
HSC001_FLC_B03_b,HSC001,FLC,20,22,24,0.12,0.11,0.15,153.4
HSC006_BA_B03_a,HSC006,BA,2,7,9,0.64,0.61,0.46,61.6
HSC006_BA_B03_b,HSC006,BA,1,6,7,NA,0.7,0.54,25.4
HSC006_FLC_B03_a,HSC006,FLC,0,18,19,NA,0.44,0.35,143.1
HSC006_FLC_B03_b,HSC006,FLC,4,19,23,0.76,0.46,0.41,66.6
HSC023_BA_B03_a,HSC023,BA,18,18,20,0.07,0.06,0.11,212.2
HSC023_BA_B03_b,HSC023,BA,14,16,18,0.07,0.1,0.14,181.2
HSC023_FLC_B03_a,HSC023,FLC,16,18,22,0.21,0.17,0.25,143.5
HSC023_FLC_B03_b,HSC023,FLC,15,18,22,0.36,0.26,0.29,137
HSC026_BA_B03_a,HSC026,BA,1,5,6,NA,0.7,0.53,66.1
HSC026_BA_B03_b,HSC026,BA,1,6,8,NA,0.71,0.53,58.3
HSC026_FLC_B03_a,HSC026,FLC,0,14,18,NA,0.63,0.5,86.7
HSC026_FLC_B03_b,HSC026,FLC,2,16,20,0.82,0.52,0.44,110.5
HSC032_BA_B03_a,HSC032,BA,9,10,11,0.06,0.07,0.13,196.4
HSC032_BA_B03_b,HSC032,BA,9,10,11,0.05,0.07,0.12,204.8
HSC032_FLC_B03_a,HSC032,FLC,19,22,24,0.1,0.11,0.15,240
HSC032_FLC_B03_b,HSC032,FLC,20,21,25,0.06,0.07,0.15,237.6
HSC033_BA_B03_a,HSC033,BA,13,14,15,0.06,0.08,0.11,146.4
HSC033_BA_B03_b,HSC033,BA,12,13,14,0.18,0.13,0.16,172.2
HSC033_FLC_B03_a,HSC033,FLC,21,23,25,0.12,0.1,0.12,169.9
HSC033_FLC_B03_b,HSC033,FLC,21,23,24,0.31,0.17,0.16,185.4
HSC036_BA_B03_a,HSC036,BA,1,7,9,NA,0.59,0.49,59.8
HSC036_BA_B03_b,HSC036,BA,1,6,8,NA,0.69,0.51,75.3
HSC036_FLC_B03_a,HSC036,FLC,0,17,21,NA,0.51,0.42,135.1
HSC036_FLC_B03_b,HSC036,FLC,0,17,19,NA,0.52,0.4,122
HSC037_BA_B03_a,HSC037,BA,2,4,6,0.51,0.47,0.43,102.5
HSC037_BA_B03_b,HSC037,BA,2,5,6,0.26,0.44,0.34,115.3
HSC037_FLC_B03_a,HSC037,FLC,18,19,22,0.14,0.12,0.17,194.1
HSC037_FLC_B03_b,HSC037,FLC,18,20,22,0.08,0.1,0.15,199.1
HSC039_BA_B03_a,HSC039,BA,11,12,13,0.09,0.11,0.14,172
HSC039_BA_B03_b,HSC039,BA,11,11,12,0.08,0.07,0.09,203.8
HSC039_FLC_B03_a,HSC039,FLC,16,18,22,0.1,0.13,0.21,183.8
HSC039_FLC_B03_b,HSC039,FLC,16,18,23,0.1,0.13,0.26,156
HSC040_BA_B03_a,HSC040,BA,10,11,12,0.11,0.1,0.13,231.2
HSC040_BA_B03_b,HSC040,BA,10,11,12,0.2,0.14,0.16,204.8
HSC040_FLC_B03_a,HSC040,FLC,14,17,22,0.11,0.16,0.26,179.4
HSC040_FLC_B03_b,HSC040,FLC,15,18,21,0.12,0.16,0.22,148.8
HSC049_BA_B03_a,HSC049,BA,3,8,11,0.7,0.49,0.43,61
HSC049_BA_B03_b,HSC049,BA,1,8,10,NA,0.54,0.43,71.2
HSC049_FLC_B03_a,HSC049,FLC,0,12,20,NA,0.85,0.68,52.8
HSC049_FLC_B03_b,HSC049,FLC,0,12,22,NA,0.78,0.65,46.6
HSC067_BA_B03_b,HSC067,BA,12,14,16,0.07,0.1,0.16,188.9
HSC067_FLC_B03_a,HSC067,FLC,19,22,24,0.19,0.16,0.17,174
HSC067_FLC_B03_b,HSC067,FLC,20,23,25,0.1,0.12,0.13,120.9
HSC084_BA_B03_a,HSC084,BA,11,12,13,0.07,0.11,0.15,196.8
HSC084_BA_B03_b,HSC084,BA,10,11,12,0.07,0.11,0.15,222.7
HSC084_FLC_B03_a,HSC084,FLC,21,22,24,0.06,0.07,0.1,160.5
HSC084_FLC_B03_b,HSC084,FLC,22,23,24,0.06,0.07,0.08,232
HSC085_BA_B03_a,HSC085,BA,5,7,8,0.2,0.27,0.26,120.3
HSC085_BA_B03_b,HSC085,BA,5,7,11,0.19,0.26,0.4,100.1
