"name","line","type","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope"
"HSC001_rep1","HSC001","rep1",22,24,25,0.05,0.08,0.09,111.9
"HSC001_rep2","HSC001","rep2",22,24,26,0.11,0.08,0.11,32.3
"HSC002_rep1","HSC002","rep1",0,19,20,NA,0.59,0.49,8.6
"HSC002_rep2","HSC002","rep2",16,23,24,0.67,0.36,0.33,11.8
"HSC003_rep1","HSC003","rep1",12,13,22,0.13,0.12,0.43,10.8
"HSC003_rep2","HSC003","rep2",12,14,16,0.14,0.14,0.2,11.4
"HSC005_rep1","HSC005","rep1",6,10,13,0.91,0.48,0.43,5.7
"HSC005_rep2","HSC005","rep2",9,12,13,0.12,0.23,0.22,5.7
"HSC006_rep1","HSC006","rep1",17,19,19,0.37,0.24,0.24,29.1
"HSC006_rep2","HSC006","rep2",15,19,20,0.65,0.32,0.3,23.8
"HSC007_rep1","HSC007","rep1",18,19,20,0.09,0.09,0.11,61.3
"HSC007_rep2","HSC007","rep2",17,19,20,0.28,0.16,0.16,69.6
"HSC008_rep1","HSC008","rep1",17,20,22,0.24,0.17,0.19,78.2
"HSC008_rep2","HSC008","rep2",19,22,24,0.29,0.19,0.18,40.5
"HSC009_rep1","HSC009","rep1",0,13,14,NA,0.54,0.54,6.2
"HSC009_rep2","HSC009","rep2",2,15,15,0.89,0.52,0.48,10.7
"HSC011_rep1","HSC011","rep1",2,3,7,0.86,0.5,0.63,5.4
"HSC011_rep2","HSC011","rep2",1,1,1,NA,NA,NA,4.7
"HSC012_rep1","HSC012","rep1",20,22,23,0.1,0.1,0.12,56.8
"HSC012_rep2","HSC012","rep2",21,22,24,0.06,0.07,0.11,31.2
"HSC013_rep1","HSC013","rep1",18,20,22,0.25,0.15,0.16,37
"HSC013_rep2","HSC013","rep2",18,20,22,0.39,0.21,0.2,49.2
"HSC014_rep1","HSC014","rep1",17,21,24,0.43,0.27,0.24,42.6
"HSC014_rep2","HSC014","rep2",13,21,23,0.47,0.29,0.27,34.9
"HSC015_rep1","HSC015","rep1",15,17,17,0.07,0.09,0.08,28.6
"HSC015_rep2","HSC015","rep2",16,17,18,0.07,0.08,0.12,25.1
"HSC016_rep1","HSC016","rep1",1,16,17,NA,0.51,0.43,49.2
"HSC016_rep2","HSC016","rep2",15,17,17,0.06,0.11,0.11,23.2
"HSC017_rep1","HSC017","rep1",12,14,17,0.09,0.16,0.22,20.3
"HSC017_rep2","HSC017","rep2",11,14,17,0.11,0.16,0.24,26.7
"HSC018_rep1","HSC018","rep1",0,2,5,NA,0.56,0.7,7.5
"HSC018_rep2","HSC018","rep2",0,3,6,NA,0.83,0.7,5.7
"HSC019_rep1","HSC019","rep1",2,5,23,0.77,0.55,0.66,6.5
"HSC019_rep2","HSC019","rep2",3,4,5,0.39,0.36,0.38,14.7
"HSC020_rep1","HSC020","rep1",14,22,25,0.37,0.32,0.27,27.5
"HSC020_rep2","HSC020","rep2",15,21,25,0.35,0.29,0.26,25.6
"HSC021_rep1","HSC021","rep1",17,19,19,0.06,0.1,0.1,26.8
"HSC021_rep2","HSC021","rep2",16,17,18,0.08,0.09,0.12,11.2
"HSC022_rep1","HSC022","rep1",1,1,1,NA,NA,NA,3.9
"HSC022_rep2","HSC022","rep2",12,13,13,0.07,0.09,0.09,5
"HSC023_rep1","HSC023","rep1",20,24,26,0.1,0.15,0.14,25.3
"HSC023_rep2","HSC023","rep2",19,22,24,0.09,0.14,0.16,31.2
