Strain,MIC50
A01,0.390625
A06,0.390625
A07,0.390625
A09,0.390625
A11,0.390625
A13,0.390625
A14,0.78125
A15,0.390625
A16,0.390625
A19,0.390625
A20,0.390625
A21,0.390625
A22,0.78125
A23,0.78125
A24,0.78125
A25,0.78125
A26,0.78125
A27,0.78125
A28,0.78125
A29,0.78125
A30,0.78125
A31,0.78125
A32,0.78125
A33,0.78125
A34,0.78125
A35,0.78125
A36,0.78125
A37,0.78125
A38,0.390625
A39,0.78125
A40,0.78125
A41,0.78125
A42,0.78125
A43,0.78125
A44,0.78125
A45,0.78125
A46,0.78125
A47,0.78125
A48,0.78125
A49,0.390625
A50,0.390625
A51,0.78125
A52,0.390625
A53,0.78125
A54,0.78125
A55,0.78125
A56,0.78125
A57,0.78125
A58,0.78125
A59,0.78125
A60,0.78125
A61,0.78125
A62,0.78125
A63,0.78125
A64,0.390625
A65,0.390625
A66,0.390625
A67,0.78125
A68,0.78125
