Strain,Concentration,Drug,t_asym,k,k_corrected,r,r_corrected,StrainName
A02,0,ND,17,0.97,0.97,0.6613472771100378,0.6613472771100378,P87
A02,0.4,BA,22,0.96,0.96,0.35609300182618436,0.35609300182618436,P87
A02,0.8,BA,24,0.63,0.63,0.1947853292938047,0.1947853292938047,P87
A02,1.6,BA,28,0.11,0.11,0.39980944653377976,0,P87
A02,16,FLC,24,0.65,0.65,0.6541192069105023,0.6541192069105023,P87
A02,2,FLC,17,0.64,0.64,0.7005398731116129,0.7005398731116129,P87
A02,3.2,BA,28,0.06,0.06,4.227911972457178,0,P87
A02,32,FLC,22,0.64,0.64,0.5427291478069117,0.5427291478069117,P87
A02,4,FLC,15,0.65,0.65,0.6919440186462056,0.6919440186462056,P87
A02,6.4,BA,28,0.09,0.09,1.7953556701648494,0,P87
A02,8,FLC,20,0.62,0.62,0.6697721283252126,0.6697721283252126,P87
A03,0,ND,20,0.98,0.98,0.6967657571907725,0.6967657571907725,GC75
A03,0.4,BA,24,0.99,0.99,0.39913638850235134,0.39913638850235134,GC75
A03,0.8,BA,24,0.55,0.55,0.22522645773971217,0.22522645773971217,GC75
A03,1.6,BA,28,0.13,0.13,0.16236434329652386,0,GC75
A03,16,FLC,18,0.7,0.7,0.4436348227146581,0.4436348227146581,GC75
A03,2,FLC,20,0.7,0.7,0.4558843402096204,0.4558843402096204,GC75
A03,3.2,BA,28,0.08,0.08,2.9862384024753443,0,GC75
A03,32,FLC,20,0.7,0.7,0.3890613144305485,0.3890613144305485,GC75
A03,4,FLC,20,0.67,0.67,0.45970338719814946,0.45970338719814946,GC75
A03,6.4,BA,28,0.07,0.07,0.23702312859916944,0,GC75
A03,8,FLC,20,0.72,0.72,0.43627464226058404,0.43627464226058404,GC75
A04,0,ND,19,0.98,0.98,0.6950319637173565,0.6950319637173565,P78048
A04,0.4,BA,21,0.96,0.96,0.32120368850910413,0.32120368850910413,P78048
A04,0.8,BA,24,0.6,0.6,0.23266818017528892,0.23266818017528892,P78048
A04,1.6,BA,28,0.11,0.11,0.19973304223124688,0,P78048
A04,16,FLC,24,0.53,0.53,0.20492929651330943,0.20492929651330943,P78048
A04,2,FLC,24,0.6,0.6,0.24315547213728042,0.24315547213728042,P78048
A04,3.2,BA,28,0.08,0.08,9.434432966342342,0,P78048
A04,32,FLC,24,0.56,0.56,0.22986091932961455,0.22986091932961455,P78048
A04,4,FLC,24,0.55,0.55,0.25876026963238613,0.25876026963238613,P78048
A04,6.4,BA,28,0.08,0.08,3.062544564828499,0,P78048
A04,8,FLC,24,0.55,0.55,0.22198760496943415,0.22198760496943415,P78048
A08,0,ND,19,0.97,0.97,0.9597835125757933,0.9597835125757933,P75016
A08,0.4,BA,24,0.97,0.97,0.518485140644116,0.518485140644116,P75016
A08,0.8,BA,24,0.93,0.93,0.24593824445100748,0.24593824445100748,P75016
A08,1.6,BA,24,0.46,0.46,0.1032015085043506,0.1032015085043506,P75016
A08,16,FLC,11,0.79,0.79,0.6291217598147442,0.6291217598147442,P75016
A08,2,FLC,15,0.78,0.78,0.6799332340959768,0.6799332340959768,P75016
