Strain,Enviro,MIC50,Mass,Mass_norm,Activity,Activity_norm
yAG104,0, ≤ 2,0.40908860544217684,0.16798078231292513,1.2458899659863945,0
yAG104,1, ≤ 2,0.45338860544217685,0.21228078231292513,1.3161899659863945,0.07029999999999996
yAG104,16, ≤ 2,0.3969219387755102,0.15581411564625847,1.2857899659863945,0.03989999999999997
yAG104,2, ≤ 2,0.4213219387755102,0.1802141156462585,1.2903899659863944,0.04449999999999991
yAG104,32, ≤ 2,0.3798552721088435,0.1387474489795918,1.2525899659863946,0.0066999999999999655
yAG104,4, ≤ 2,0.44598860544217683,0.2048807823129251,1.3341566326530612,0.08826666666666665
yAG104,8, ≤ 2,0.40948860544217686,0.16838078231292514,1.2514899659863945,0.005599999999999938
yAG106,0, ≤ 2,0.20897193877551024,-0.010409693877550974,0.32695663265306124,0
yAG106,1, ≤ 2,0.23697193877551023,0.017590306122449023,0.33735663265306115,0.010399999999999937
yAG106,16, ≤ 2,0.3080219387755102,0.088640306122449,0.26675663265306127,-0.060200000000000004
yAG106,2, ≤ 2,0.2540719387755102,0.034690306122449,0.28900663265306126,-0.03795000000000001
yAG106,32, ≤ 2,0.37097193877551027,0.15159030612244906,0.23820663265306122,-0.08875000000000002
yAG106,4, ≤ 2,0.25437193877551023,0.03499030612244902,0.2790566326530612,-0.047900000000000054
yAG106,8, ≤ 2,0.3245219387755102,0.10514030612244901,0.2894066326530612,-0.03755000000000003
yAG109,0, ≤ 2,0.4297719387755102,0.03016887755102038,0.28495663265306126,0
yAG109,1, ≤ 2,0.5010219387755102,0.10141887755102036,0.2150566326530612,-0.06990000000000002
yAG109,16, ≤ 2,0.4804719387755102,0.0808688775510204,0.20380663265306123,-0.08115
yAG109,2, ≤ 2,0.4460719387755102,0.046468877551020416,0.2371566326530612,-0.04780000000000004
yAG109,32, ≤ 2,0.5642219387755102,0.1646188775510204,0.14715663265306123,-0.1378
yAG109,4, ≤ 2,0.4947719387755102,0.09516887755102038,0.22000663265306122,-0.06495000000000001
yAG109,8, ≤ 2,0.4926219387755102,0.0930188775510204,0.21630663265306121,-0.06865000000000002
yAG110,0, ≤ 2,0.9870719387755101,0.4217474489795918,0.6440566326530612,0
yAG110,1, ≤ 2,0.7821219387755102,0.21679744897959186,0.6277066326530613,-0.01635000000000003
yAG110,16, ≤ 2,0.6667219387755101,0.1013974489795918,0.5905066326530612,-0.05355000000000004
yAG110,2, ≤ 2,0.8789719387755102,0.31364744897959185,0.6808066326530613,0.036750000000000005
yAG110,32, ≤ 2,0.8473219387755102,0.2819974489795919,0.5131066326530612,-0.13095000000000007
yAG110,4, ≤ 2,0.7831219387755102,0.21779744897959186,0.5509066326530613,-0.09315000000000001
yAG110,8, ≤ 2,0.8432219387755102,0.2778974489795919,0.6152066326530612,-0.028850000000000042
yAG112,0, ≤ 2,0.41168860544217684,0.10739982993197278,1.0659566326530612,0
