Strain,enviro,OD,MIC50
A01,0.390625,1.6549525908601153,0.390625
A01,0.78125,1.3146393028196757,0.390625
A01,6.25,1.0736694036784016,0.390625
A01,12.5,0.8985382747943061,0.390625
A01,1.5625,0.9114134120890431,0.390625
A01,3.125,0.8896134637149996,0.390625
A01,0.1953125,1.6280318492438468,0.390625
A06,0.1953125,1.2463528775959944,0.390625
A06,0.390625,1.29367853647876,0.390625
A06,0.78125,1.3857676370436318,0.390625
A06,1.5625,0.9798822887274286,0.390625
A06,3.125,0.8736256342294992,0.390625
A06,6.25,0.7476248354206072,0.390625
A06,12.5,0.7022585191030517,0.390625
A07,0.1953125,1.23830208601174,0.390625
A07,0.390625,1.5971858262805747,0.390625
A07,0.78125,1.5897455536164646,0.390625
A07,1.5625,1.2827248904474557,0.390625
A07,3.125,0.9674980441930312,0.390625
A07,6.25,0.774707449573005,0.390625
A07,12.5,0.5998610419664203,0.390625
A09,0.1953125,1.093265236504469,0.390625
A09,0.390625,1.332980173390686,0.390625
A09,0.78125,1.3849373895210122,0.390625
A09,1.5625,1.152411053770635,0.390625
A09,3.125,0.9180341870347934,0.390625
A09,6.25,0.7549027632393037,0.390625
A09,12.5,0.6369670000503304,0.390625
A11,0.1953125,1.3021216223391718,0.390625
A11,0.390625,1.4543896838119874,0.390625
A11,0.78125,1.5868620620324403,0.390625
A11,1.5625,1.2942701699099646,0.390625
A11,3.125,1.0778540715687333,0.390625
A11,6.25,0.8621897080345535,0.390625
A11,12.5,0.5860524555775442,0.390625
A13,0.1953125,1.5509408166676018,0.390625
A13,0.390625,1.7038269189347686,0.390625
A13,0.78125,1.5837986585360702,0.390625
A13,1.5625,1.4135967270065999,0.390625
A13,3.125,1.2553891747710177,0.390625
A13,6.25,1.206735917916936,0.390625
A13,12.5,1.079865793273132,0.390625
A14,0.1953125,1.491715376583169,0.78125
A14,0.390625,1.6072482219188968,0.78125
A14,0.78125,1.5814396750172863,0.78125
A14,1.5625,1.5084862734867426,0.78125
A14,3.125,1.4479247013349499,0.78125
A14,6.25,1.20828721891278,0.78125
A14,12.5,1.0286522787456165,0.78125
A15,0.1953125,1.4333886862608651,0.390625
A15,0.390625,1.5216973277620207,0.390625
A15,0.78125,1.5155002301128169,0.390625
A15,1.5625,1.4507952399520112,0.390625
A15,3.125,1.257318205992307,0.390625
A15,6.25,1.1411226250697335,0.390625
A15,12.5,0.9787222131450075,0.390625
A16,0.1953125,1.5271134849436774,0.390625
A16,0.390625,1.5394861230954304,0.390625
A16,0.78125,1.260314414980426,0.390625
A16,1.5625,1.2375937521926617,0.390625
A16,3.125,1.1908776699590737,0.390625
A16,6.25,1.096020777462302,0.390625
A16,12.5,0.8547168406602382,0.390625
A19,0.1953125,1.3989845445761815,0.390625
A19,0.390625,1.4787541255239436,0.390625
A19,0.78125,1.2096546576631995,0.390625
A19,1.5625,1.0780915573322936,0.390625
A19,3.125,1.0024049691534216,0.390625
A19,6.25,0.8359852083325456,0.390625
A19,12.5,0.8138311920124564,0.390625
A20,0.1953125,1.562400632172626,0.390625
A20,0.390625,1.4393916728717975,0.390625
A20,0.78125,1.2968414168719133,0.390625
A20,1.5625,1.1071117752161415,0.390625
A20,3.125,1.0600102433319634,0.390625
A20,6.25,0.9563868731867717,0.390625
A20,12.5,0.9610580994893347,0.390625
A21,0.1953125,1.502553941891013,0.390625
A21,0.390625,1.5556607073595399,0.390625
A21,0.78125,1.5049428275349261,0.390625
A21,1.5625,1.3008768654145144,0.390625
A21,3.125,1.2504346262411214,0.390625
A21,6.25,1.2412466045337638,0.390625
A21,12.5,1.0934113352623804,0.390625
A22,0.1953125,1.2975615078021079,0.78125
A22,0.390625,1.509634019360953,0.78125
A22,0.78125,1.591122902908099,0.78125
A22,1.5625,1.2705384176865762,0.78125
A22,3.125,1.1470042914441467,0.78125
A22,6.25,1.070970379504173,0.78125
A22,12.5,0.923602223470405,0.78125
A23,0.1953125,1.5555499873949343,0.78125
A23,0.390625,1.5492500113777974,0.78125
A23,0.78125,1.4971320279633025,0.78125
A23,1.5625,1.1672423747023235,0.78125
A23,3.125,1.0033714076202096,0.78125
A23,6.25,0.977097644003287,0.78125
A23,12.5,0.6630295214217082,0.78125
A24,0.1953125,1.429866938394071,0.78125
A24,0.390625,1.2613855764086088,0.78125
A24,0.78125,1.2008691869235262,0.78125
A24,1.5625,1.0324656095003841,0.78125
A24,3.125,0.9616816577890405,0.78125
A24,6.25,0.9026431749880407,0.78125
A24,12.5,0.7858107623831634,0.78125
A25,0.1953125,1.4645407293562938,0.78125
A25,0.390625,1.5629342966372382,0.78125
A25,0.78125,1.4104522200697518,0.78125
A25,1.5625,1.1520992241623293,0.78125
A25,3.125,1.1439230541538985,0.78125
A25,6.25,1.0692892971538641,0.78125
A25,12.5,0.7989166325160991,0.78125
A26,0.1953125,1.1896479500479757,0.78125
A26,0.390625,1.2716812888938511,0.78125
A26,0.78125,1.2086872063417176,0.78125
A26,1.5625,0.9429603021432595,0.78125
A26,3.125,0.668183874891603,0.78125
A26,6.25,0.6399775692712448,0.78125
A26,12.5,0.5003563564504715,0.78125
