Strain,Enviro,Activity_norm,MIC50
A01,0.39,1.0915151299739945,0.390625
A01,0.78,0.9673495836329442,0.390625
A01,6.25,0.7817137106526298,0.390625
A01,12.5,0.893831011149175,0.390625
A01,1.56,0.8089777404132423,0.390625
A01,3.12,0.696590018249082,0.390625
A01,0.2,1,0.390625
A06,0.2,1,0.390625
A06,0.39,1.0017934066624168,0.390625
A06,0.78,1.090754079902383,0.390625
A06,1.56,0.9602645955327642,0.390625
A06,3.12,0.7617306629372181,0.390625
A06,6.25,0.6597141857460951,0.390625
A06,12.5,0.9062629441136493,0.390625
A07,0.2,1,0.390625
A07,0.39,1.0935632987780768,0.390625
A07,0.78,1.1674325419214275,0.390625
A07,1.56,0.8947792957302061,0.390625
A07,3.12,0.6831547156565926,0.390625
A07,6.25,0.6227578180635842,0.390625
A07,12.5,0.7316728076682845,0.390625
A09,0.2,1,0.390625
A09,0.39,1.0691558524957825,0.390625
A09,0.78,1.078585065505151,0.390625
A09,1.56,0.9278809442597744,0.390625
A09,3.12,0.8195751662927244,0.390625
A09,6.25,0.7440361119079858,0.390625
A09,12.5,0.9211175365881334,0.390625
A11,0.2,1,0.390625
A11,0.39,1.0624380660434887,0.390625
A11,0.78,1.0838945845581354,0.390625
A11,1.56,0.9209368335668063,0.390625
A11,3.12,0.7607142092510614,0.390625
A11,6.25,0.6349468741441454,0.390625
A11,12.5,0.6467589316133987,0.390625
A13,0.2,1,0.390625
A13,0.39,0.9299173822757375,0.390625
A13,0.78,0.85065051939399,0.390625
A13,1.56,0.8448154433130526,0.390625
A13,3.12,0.9107073923541209,0.390625
A13,6.25,0.8574590606304776,0.390625
A13,12.5,0.8677169890049423,0.390625
A14,0.2,1,0.78125
A14,0.39,1.1036807888577556,0.78125
A14,0.78,1.0269642567138966,0.78125
A14,1.56,0.8921647343178618,0.78125
A14,3.12,0.8854564467291565,0.78125
A14,6.25,0.8191374827316176,0.78125
A14,12.5,0.7671268404757877,0.78125
A15,0.2,1,0.390625
A15,0.39,1.0849399873913483,0.390625
A15,0.78,1.1239511181236794,0.390625
A15,1.56,1.0816973549166828,0.390625
A15,3.12,0.8767211259873426,0.390625
A15,6.25,0.7864407381659941,0.390625
A15,12.5,0.7051831098054767,0.390625
A16,0.2,1,0.390625
A16,0.39,1.0868404005425483,0.390625
A16,0.78,1.0861729455461333,0.390625
A16,1.56,1.102051282904358,0.390625
A16,3.12,0.9999333194558863,0.390625
A16,6.25,0.8550975365148069,0.390625
A16,12.5,0.8079448796048846,0.390625
A19,0.2,1,0.390625
A19,0.39,1.1200238771128403,0.390625
A19,0.78,1.0889542380994692,0.390625
A19,1.56,0.9876582985836639,0.390625
A19,3.12,0.8072710179191517,0.390625
A19,6.25,0.687633647346676,0.390625
A19,12.5,0.8228379709560001,0.390625
A20,0.2,1,0.390625
A20,0.39,1.0553362317866892,0.390625
A20,0.78,0.8790498020486218,0.390625
A20,1.56,0.7703009674812369,0.390625
A20,3.12,0.8300312993354789,0.390625
A20,6.25,0.8177218905722335,0.390625
A20,12.5,0.8476115715878547,0.390625
A21,0.2,1,0.390625
A21,0.39,0.9419563891395225,0.390625
