Enviro,MIC50,OD,Activity_norm,Strain
0.2,0.390625,1.6280318492438468,1,yAG104
0.39,0.390625,1.6549525908601153,1.0915151299739945,yAG104
0.78,0.390625,1.3146393028196757,0.9673495836329442,yAG104
1.56,0.390625,0.9114134120890431,0.8089777404132423,yAG104
12.5,0.390625,0.8985382747943061,0.893831011149175,yAG104
3.12,0.390625,0.8896134637149996,0.696590018249082,yAG104
6.25,0.390625,1.0736694036784016,0.7817137106526298,yAG104
0.2,0.390625,1.2463528775959944,1,yAG112
0.39,0.390625,1.29367853647876,1.0017934066624168,yAG112
0.78,0.390625,1.3857676370436318,1.090754079902383,yAG112
1.56,0.390625,0.9798822887274286,0.9602645955327642,yAG112
12.5,0.390625,0.7022585191030517,0.9062629441136493,yAG112
3.12,0.390625,0.8736256342294992,0.7617306629372181,yAG112
6.25,0.390625,0.7476248354206072,0.6597141857460951,yAG112
0.2,0.390625,1.23830208601174,1,yAG113
0.39,0.390625,1.5971858262805747,1.0935632987780768,yAG113
0.78,0.390625,1.5897455536164646,1.1674325419214275,yAG113
1.56,0.390625,1.2827248904474557,0.8947792957302061,yAG113
12.5,0.390625,0.5998610419664203,0.7316728076682845,yAG113
3.12,0.390625,0.9674980441930312,0.6831547156565926,yAG113
6.25,0.390625,0.774707449573005,0.6227578180635842,yAG113
0.2,0.390625,1.093265236504469,1,yAG118
0.39,0.390625,1.332980173390686,1.0691558524957825,yAG118
0.78,0.390625,1.3849373895210122,1.078585065505151,yAG118
1.56,0.390625,1.152411053770635,0.9278809442597744,yAG118
12.5,0.390625,0.6369670000503304,0.9211175365881334,yAG118
3.12,0.390625,0.9180341870347934,0.8195751662927244,yAG118
6.25,0.390625,0.7549027632393037,0.7440361119079858,yAG118
0.2,0.390625,1.3021216223391718,1,yAG121
0.39,0.390625,1.4543896838119874,1.0624380660434887,yAG121
0.78,0.390625,1.5868620620324403,1.0838945845581354,yAG121
1.56,0.390625,1.2942701699099646,0.9209368335668063,yAG121
12.5,0.390625,0.5860524555775442,0.6467589316133987,yAG121
3.12,0.390625,1.0778540715687333,0.7607142092510614,yAG121
6.25,0.390625,0.8621897080345535,0.6349468741441454,yAG121
0.2,0.390625,1.5509408166676018,1,yAG190
0.39,0.390625,1.7038269189347686,0.9299173822757375,yAG190
0.78,0.390625,1.5837986585360702,0.85065051939399,yAG190
1.56,0.390625,1.4135967270065999,0.8448154433130526,yAG190
