Strain,enviro.x,OD.x,enviro.y,OD.y,MIC50
A01,1,1.8821205123663471,1,1.8821205123663471,2
A01,1,1.8821205123663471,2,1.7493461344956729,2
A01,1,1.8821205123663471,16,1.648316150502603,2
A01,1,1.8821205123663471,32,1.57765036934898,2
A01,1,1.8821205123663471,4,1.8514802713192684,2
A01,1,1.8821205123663471,8,1.7003493526411104,2
A01,1,1.8821205123663471,0.5,1.6986931233953222,2
A01,2,1.7493461344956729,1,1.8821205123663471,2
A01,2,1.7493461344956729,2,1.7493461344956729,2
A01,2,1.7493461344956729,16,1.648316150502603,2
A01,2,1.7493461344956729,32,1.57765036934898,2
A01,2,1.7493461344956729,4,1.8514802713192684,2
A01,2,1.7493461344956729,8,1.7003493526411104,2
A01,2,1.7493461344956729,0.5,1.6986931233953222,2
A01,16,1.648316150502603,1,1.8821205123663471,2
A01,16,1.648316150502603,2,1.7493461344956729,2
A01,16,1.648316150502603,16,1.648316150502603,2
A01,16,1.648316150502603,32,1.57765036934898,2
A01,16,1.648316150502603,4,1.8514802713192684,2
A01,16,1.648316150502603,8,1.7003493526411104,2
A01,16,1.648316150502603,0.5,1.6986931233953222,2
A01,32,1.57765036934898,1,1.8821205123663471,2
A01,32,1.57765036934898,2,1.7493461344956729,2
A01,32,1.57765036934898,16,1.648316150502603,2
A01,32,1.57765036934898,32,1.57765036934898,2
A01,32,1.57765036934898,4,1.8514802713192684,2
A01,32,1.57765036934898,8,1.7003493526411104,2
A01,32,1.57765036934898,0.5,1.6986931233953222,2
A01,4,1.8514802713192684,1,1.8821205123663471,2
A01,4,1.8514802713192684,2,1.7493461344956729,2
A01,4,1.8514802713192684,16,1.648316150502603,2
A01,4,1.8514802713192684,32,1.57765036934898,2
A01,4,1.8514802713192684,4,1.8514802713192684,2
A01,4,1.8514802713192684,8,1.7003493526411104,2
A01,4,1.8514802713192684,0.5,1.6986931233953222,2
A01,8,1.7003493526411104,1,1.8821205123663471,2
A01,8,1.7003493526411104,2,1.7493461344956729,2
A01,8,1.7003493526411104,16,1.648316150502603,2
A01,8,1.7003493526411104,32,1.57765036934898,2
A01,8,1.7003493526411104,4,1.8514802713192684,2
A01,8,1.7003493526411104,8,1.7003493526411104,2
A01,8,1.7003493526411104,0.5,1.6986931233953222,2
A01,0.5,1.6986931233953222,1,1.8821205123663471,2
A01,0.5,1.6986931233953222,2,1.7493461344956729,2
A01,0.5,1.6986931233953222,16,1.648316150502603,2
A01,0.5,1.6986931233953222,32,1.57765036934898,2
A01,0.5,1.6986931233953222,4,1.8514802713192684,2
A01,0.5,1.6986931233953222,8,1.7003493526411104,2
A01,0.5,1.6986931233953222,0.5,1.6986931233953222,2
A06,0.5,1.3549868108379564,0.5,1.3549868108379564,1
A06,0.5,1.3549868108379564,1,1.6002606835859206,1
A06,0.5,1.3549868108379564,2,1.8878721962774447,1
A06,0.5,1.3549868108379564,4,1.679137785392915,1
A06,0.5,1.3549868108379564,8,1.7743154255761124,1
A06,0.5,1.3549868108379564,16,1.6855923609915455,1
A06,0.5,1.3549868108379564,32,1.409030206528186,1
A06,1,1.6002606835859206,0.5,1.3549868108379564,1
A06,1,1.6002606835859206,1,1.6002606835859206,1
A06,1,1.6002606835859206,2,1.8878721962774447,1
A06,1,1.6002606835859206,4,1.679137785392915,1
A06,1,1.6002606835859206,8,1.7743154255761124,1
A06,1,1.6002606835859206,16,1.6855923609915455,1
A06,1,1.6002606835859206,32,1.409030206528186,1
A06,2,1.8878721962774447,0.5,1.3549868108379564,1
A06,2,1.8878721962774447,1,1.6002606835859206,1
A06,2,1.8878721962774447,2,1.8878721962774447,1
A06,2,1.8878721962774447,4,1.679137785392915,1
A06,2,1.8878721962774447,8,1.7743154255761124,1
A06,2,1.8878721962774447,16,1.6855923609915455,1
A06,2,1.8878721962774447,32,1.409030206528186,1
A06,4,1.679137785392915,0.5,1.3549868108379564,1
A06,4,1.679137785392915,1,1.6002606835859206,1
A06,4,1.679137785392915,2,1.8878721962774447,1
A06,4,1.679137785392915,4,1.679137785392915,1
A06,4,1.679137785392915,8,1.7743154255761124,1
A06,4,1.679137785392915,16,1.6855923609915455,1
A06,4,1.679137785392915,32,1.409030206528186,1
A06,8,1.7743154255761124,0.5,1.3549868108379564,1
A06,8,1.7743154255761124,1,1.6002606835859206,1
A06,8,1.7743154255761124,2,1.8878721962774447,1
A06,8,1.7743154255761124,4,1.679137785392915,1
A06,8,1.7743154255761124,8,1.7743154255761124,1
A06,8,1.7743154255761124,16,1.6855923609915455,1
A06,8,1.7743154255761124,32,1.409030206528186,1
A06,16,1.6855923609915455,0.5,1.3549868108379564,1
A06,16,1.6855923609915455,1,1.6002606835859206,1
A06,16,1.6855923609915455,2,1.8878721962774447,1
A06,16,1.6855923609915455,4,1.679137785392915,1
A06,16,1.6855923609915455,8,1.7743154255761124,1
A06,16,1.6855923609915455,16,1.6855923609915455,1
A06,16,1.6855923609915455,32,1.409030206528186,1
A06,32,1.409030206528186,0.5,1.3549868108379564,1
A06,32,1.409030206528186,1,1.6002606835859206,1
A06,32,1.409030206528186,2,1.8878721962774447,1
A06,32,1.409030206528186,4,1.679137785392915,1
A06,32,1.409030206528186,8,1.7743154255761124,1
A06,32,1.409030206528186,16,1.6855923609915455,1
A06,32,1.409030206528186,32,1.409030206528186,1
A07,0.5,1.4293880159252959,0.5,1.4293880159252959,1
A07,0.5,1.4293880159252959,1,1.6688514752750803,1
A07,0.5,1.4293880159252959,2,1.8052935231760459,1
A07,0.5,1.4293880159252959,4,1.7955841639621195,1
A07,0.5,1.4293880159252959,8,1.7834219139994116,1
A07,0.5,1.4293880159252959,16,1.605178519587963,1
A07,0.5,1.4293880159252959,32,1.3868712429464183,1
A07,1,1.6688514752750803,0.5,1.4293880159252959,1
A07,1,1.6688514752750803,1,1.6688514752750803,1
A07,1,1.6688514752750803,2,1.8052935231760459,1
A07,1,1.6688514752750803,4,1.7955841639621195,1
A07,1,1.6688514752750803,8,1.7834219139994116,1
A07,1,1.6688514752750803,16,1.605178519587963,1
A07,1,1.6688514752750803,32,1.3868712429464183,1
A07,2,1.8052935231760459,0.5,1.4293880159252959,1
A07,2,1.8052935231760459,1,1.6688514752750803,1
A07,2,1.8052935231760459,2,1.8052935231760459,1
A07,2,1.8052935231760459,4,1.7955841639621195,1
A07,2,1.8052935231760459,8,1.7834219139994116,1
A07,2,1.8052935231760459,16,1.605178519587963,1
A07,2,1.8052935231760459,32,1.3868712429464183,1
A07,4,1.7955841639621195,0.5,1.4293880159252959,1
A07,4,1.7955841639621195,1,1.6688514752750803,1
A07,4,1.7955841639621195,2,1.8052935231760459,1
A07,4,1.7955841639621195,4,1.7955841639621195,1
A07,4,1.7955841639621195,8,1.7834219139994116,1
A07,4,1.7955841639621195,16,1.605178519587963,1
A07,4,1.7955841639621195,32,1.3868712429464183,1
A07,8,1.7834219139994116,0.5,1.4293880159252959,1
A07,8,1.7834219139994116,1,1.6688514752750803,1
A07,8,1.7834219139994116,2,1.8052935231760459,1
A07,8,1.7834219139994116,4,1.7955841639621195,1
A07,8,1.7834219139994116,8,1.7834219139994116,1
A07,8,1.7834219139994116,16,1.605178519587963,1
A07,8,1.7834219139994116,32,1.3868712429464183,1
A07,16,1.605178519587963,0.5,1.4293880159252959,1
A07,16,1.605178519587963,1,1.6688514752750803,1
A07,16,1.605178519587963,2,1.8052935231760459,1
A07,16,1.605178519587963,4,1.7955841639621195,1
A07,16,1.605178519587963,8,1.7834219139994116,1
A07,16,1.605178519587963,16,1.605178519587963,1
A07,16,1.605178519587963,32,1.3868712429464183,1
A07,32,1.3868712429464183,0.5,1.4293880159252959,1
A07,32,1.3868712429464183,1,1.6688514752750803,1
A07,32,1.3868712429464183,2,1.8052935231760459,1
A07,32,1.3868712429464183,4,1.7955841639621195,1
A07,32,1.3868712429464183,8,1.7834219139994116,1
A07,32,1.3868712429464183,16,1.605178519587963,1
A07,32,1.3868712429464183,32,1.3868712429464183,1
A09,0.5,1.2454017556304764,0.5,1.2454017556304764,1
A09,0.5,1.2454017556304764,1,1.4666498979457234,1
A09,0.5,1.2454017556304764,2,1.4944582164485793,1
A09,0.5,1.2454017556304764,4,1.5520099684016548,1
A09,0.5,1.2454017556304764,8,1.5008369286824819,1
A09,0.5,1.2454017556304764,16,1.4291660047060493,1
A09,0.5,1.2454017556304764,32,1.3617953361682027,1
A09,1,1.4666498979457234,0.5,1.2454017556304764,1
A09,1,1.4666498979457234,1,1.4666498979457234,1
A09,1,1.4666498979457234,2,1.4944582164485793,1
A09,1,1.4666498979457234,4,1.5520099684016548,1
A09,1,1.4666498979457234,8,1.5008369286824819,1
A09,1,1.4666498979457234,16,1.4291660047060493,1
A09,1,1.4666498979457234,32,1.3617953361682027,1
A09,2,1.4944582164485793,0.5,1.2454017556304764,1
A09,2,1.4944582164485793,1,1.4666498979457234,1
A09,2,1.4944582164485793,2,1.4944582164485793,1
A09,2,1.4944582164485793,4,1.5520099684016548,1
A09,2,1.4944582164485793,8,1.5008369286824819,1
A09,2,1.4944582164485793,16,1.4291660047060493,1
A09,2,1.4944582164485793,32,1.3617953361682027,1
A09,4,1.5520099684016548,0.5,1.2454017556304764,1
A09,4,1.5520099684016548,1,1.4666498979457234,1
A09,4,1.5520099684016548,2,1.4944582164485793,1
A09,4,1.5520099684016548,4,1.5520099684016548,1
A09,4,1.5520099684016548,8,1.5008369286824819,1
A09,4,1.5520099684016548,16,1.4291660047060493,1
A09,4,1.5520099684016548,32,1.3617953361682027,1
A09,8,1.5008369286824819,0.5,1.2454017556304764,1
A09,8,1.5008369286824819,1,1.4666498979457234,1
A09,8,1.5008369286824819,2,1.4944582164485793,1
A09,8,1.5008369286824819,4,1.5520099684016548,1
A09,8,1.5008369286824819,8,1.5008369286824819,1
A09,8,1.5008369286824819,16,1.4291660047060493,1
A09,8,1.5008369286824819,32,1.3617953361682027,1
A09,16,1.4291660047060493,0.5,1.2454017556304764,1
A09,16,1.4291660047060493,1,1.4666498979457234,1
A09,16,1.4291660047060493,2,1.4944582164485793,1
A09,16,1.4291660047060493,4,1.5520099684016548,1
A09,16,1.4291660047060493,8,1.5008369286824819,1
A09,16,1.4291660047060493,16,1.4291660047060493,1
A09,16,1.4291660047060493,32,1.3617953361682027,1
A09,32,1.3617953361682027,0.5,1.2454017556304764,1
A09,32,1.3617953361682027,1,1.4666498979457234,1
A09,32,1.3617953361682027,2,1.4944582164485793,1
A09,32,1.3617953361682027,4,1.5520099684016548,1
A09,32,1.3617953361682027,8,1.5008369286824819,1
A09,32,1.3617953361682027,16,1.4291660047060493,1
A09,32,1.3617953361682027,32,1.3617953361682027,1
A11,0.5,1.3019856375243584,0.5,1.3019856375243584,1
A11,0.5,1.3019856375243584,1,1.5989661812861005,1
A11,0.5,1.3019856375243584,2,1.602516692569118,1
A11,0.5,1.3019856375243584,4,1.5592004549163028,1
A11,0.5,1.3019856375243584,8,1.6224784560047507,1
A11,0.5,1.3019856375243584,16,1.6140361291762422,1
A11,0.5,1.3019856375243584,32,1.453395218682377,1
A11,1,1.5989661812861005,0.5,1.3019856375243584,1
A11,1,1.5989661812861005,1,1.5989661812861005,1
A11,1,1.5989661812861005,2,1.602516692569118,1
A11,1,1.5989661812861005,4,1.5592004549163028,1
A11,1,1.5989661812861005,8,1.6224784560047507,1
A11,1,1.5989661812861005,16,1.6140361291762422,1
A11,1,1.5989661812861005,32,1.453395218682377,1
A11,2,1.602516692569118,0.5,1.3019856375243584,1
A11,2,1.602516692569118,1,1.5989661812861005,1
A11,2,1.602516692569118,2,1.602516692569118,1
A11,2,1.602516692569118,4,1.5592004549163028,1
A11,2,1.602516692569118,8,1.6224784560047507,1
A11,2,1.602516692569118,16,1.6140361291762422,1
A11,2,1.602516692569118,32,1.453395218682377,1
A11,4,1.5592004549163028,0.5,1.3019856375243584,1
A11,4,1.5592004549163028,1,1.5989661812861005,1
A11,4,1.5592004549163028,2,1.602516692569118,1
A11,4,1.5592004549163028,4,1.5592004549163028,1
A11,4,1.5592004549163028,8,1.6224784560047507,1
A11,4,1.5592004549163028,16,1.6140361291762422,1
A11,4,1.5592004549163028,32,1.453395218682377,1
A11,8,1.6224784560047507,0.5,1.3019856375243584,1
A11,8,1.6224784560047507,1,1.5989661812861005,1
A11,8,1.6224784560047507,2,1.602516692569118,1
A11,8,1.6224784560047507,4,1.5592004549163028,1
A11,8,1.6224784560047507,8,1.6224784560047507,1
A11,8,1.6224784560047507,16,1.6140361291762422,1
A11,8,1.6224784560047507,32,1.453395218682377,1
A11,16,1.6140361291762422,0.5,1.3019856375243584,1
A11,16,1.6140361291762422,1,1.5989661812861005,1
A11,16,1.6140361291762422,2,1.602516692569118,1
