Enviro,MIC50,OD,Activity_norm,Strain
0.5,2,1.6986931233953222,1,yAG00104
1,2,1.8821205123663471,1.0514432672704874,yAG00104
16,2,1.648316150502603,1.0243300340543253,yAG00104
2,2,1.7493461344956729,1.0305305236835027,yAG00104
32,2,1.57765036934898,1.0079468203410618,yAG00104
4,2,1.8514802713192684,1.0526854706089779,yAG00104
8,2,1.7003493526411104,0.9887280826839993,yAG00104
0.5,1,1.3549868108379564,1,yAG00112
1,1,1.6002606835859206,1.031051907319364,yAG00112
16,1,1.6855923609915455,1.0505332633830855,yAG00112
2,1,1.8878721962774447,1.1169959254989832,yAG00112
32,1,1.409030206528186,1.0137255816676698,yAG00112
4,1,1.679137785392915,1.0697606741678198,yAG00112
8,1,1.7743154255761124,1.0853492487681544,yAG00112
0.5,1,1.4293880159252959,1,yAG00113
1,1,1.6688514752750803,1.038462265986287,yAG00113
16,1,1.605178519587963,1.0108734765773475,yAG00113
2,1,1.8052935231760459,1.0619990071726313,yAG00113
32,1,1.3868712429464183,0.9788387640031111,yAG00113
4,1,1.7955841639621195,1.063885437879616,yAG00113
8,1,1.7834219139994116,1.0315634247773804,yAG00113
0.5,1,1.2454017556304764,1,yAG00118
1,1,1.4666498979457234,0.9576482260077447,yAG00118
16,1,1.4291660047060493,0.9272656386115874,yAG00118
2,1,1.4944582164485793,0.9323829407286973,yAG00118
32,1,1.3617953361682027,0.8938717379567896,yAG00118
4,1,1.5520099684016548,0.9375208189505606,yAG00118
8,1,1.5008369286824819,0.9304041691308005,yAG00118
0.5,1,1.3019856375243584,1,yAG00121
1,1,1.5989661812861005,1.0318576330592013,yAG00121
16,1,1.6140361291762422,0.9592894706018144,yAG00121
2,1,1.602516692569118,1.0666224266400637,yAG00121
32,1,1.453395218682377,0.9368536528520235,yAG00121
4,1,1.5592004549163028,1.0827217957988275,yAG00121
8,1,1.6224784560047507,1.06888326538758,yAG00121
0.5,1,1.5604844714103987,1,yAG00190
1,1,1.6829387941673546,0.963462568853155,yAG00190
16,1,1.6242593401750953,0.9219460545759145,yAG00190
2,1,1.5903173030619255,0.9279428389120484,yAG00190
32,1,1.4520836313322611,0.8679101937920887,yAG00190
4,1,1.6747203832440691,0.9448597358082436,yAG00190
8,1,1.6546674605912521,0.9656895518229428,yAG00190
0.5,1,1.4433189268642435,1,yAG0032
1,1,1.548724665277135,1.0787844019841548,yAG0032
16,1,1.638700945271034,1.0670160963548354,yAG0032
2,1,1.6442486157138179,1.1161862725037373,yAG0032
32,1,1.5319082892474465,1.0576284235353106,yAG0032
4,1,1.571608805853618,1.164394596957712,yAG0032
8,1,1.604288052055641,1.0759128899151995,yAG0032
0.5,1,1.4459357507934694,1,yAG00192
1,1,1.6186922312865286,1.0208551637896985,yAG00192
16,1,1.6477752274985658,1.0181009921845752,yAG00192
2,1,1.6596174055968802,1.0705742111609255,yAG00192
32,1,1.4130214616672718,0.9349067051378581,yAG00192
4,1,1.6314051577744249,1.108788561369873,yAG00192
8,1,1.5909153576588644,1.0409183440317746,yAG00192
0.5,1,1.4513444918540375,1,yAG00193
1,1,1.5323604937500397,1.0018925007425192,yAG00193
16,1,1.5037454112298325,0.9895032276613763,yAG00193
2,1,1.4819777665922944,0.9964962578365282,yAG00193
32,1,1.4837797239298391,0.9942486445737351,yAG00193
4,1,1.4558133460511478,0.960763013486886,yAG00193
8,1,1.5181610699301886,0.9959655825610834,yAG00193
0.5,1,1.4084687203797532,1,yAG00117
1,1,1.601645494652526,1.0211218495097236,yAG00117
16,1,1.5938938640599358,0.9957519800158549,yAG00117
2,1,1.5413976727200165,1.0026305111504599,yAG00117
32,1,1.5757811430713087,0.9965499092010152,yAG00117
4,1,1.6072481583481608,0.9977305980521013,yAG00117
8,1,1.6707961794438526,1.0066812769343412,yAG00117
0.5,1,1.506351005715896,1,yAG0098
1,1,1.4414868271552665,0.9127069178908064,yAG0098
16,1,1.636625095108698,0.9676045414613826,yAG0098
2,1,1.5935122456567414,0.9764710515889842,yAG0098
32,1,1.5631071619564465,0.9211712082396324,yAG0098
4,1,1.5370679364285016,0.9390431066122855,yAG0098
8,1,1.6363132480963873,0.9555404137070747,yAG0098
0.5,1,1.457994147700902,1,yAG0043
1,1,1.6729546364572039,1.1024360372428776,yAG0043
16,1,1.6161973715252105,1.067176259341203,yAG0043
2,1,1.5126525307247787,1.0211328439242342,yAG0043
32,1,1.81961400978687,1.1073054305522743,yAG0043
4,1,1.4997968790375629,1.0321730993046523,yAG0043
8,1,1.4914888048179336,1.053731791991066,yAG0043
0.5,1,1.442226224817522,1,yAG0060
1,1,1.7300799505658941,1.087666545614988,yAG0060
16,1,1.5800957034213658,0.9045089607567945,yAG0060
2,1,1.6975748321574384,1.0053510626767446,yAG0060
32,1,1.5472493239272571,0.8916299018575821,yAG0060
4,1,1.6454472013239303,0.9730915658921695,yAG0060
8,1,1.6927971769582952,0.9602534003177601,yAG0060
0.5,>32,1.4061637863093013,1,yAG0046
1,>32,1.618832165350618,1.1372850935396486,yAG0046
16,>32,1.5679449034588986,1.0209397865279253,yAG0046
2,>32,1.7601469965957481,1.124357120586181,yAG0046
32,>32,1.4830863914944585,1.0274314498630075,yAG0046
4,>32,1.7368265687794335,1.0715876706302132,yAG0046
8,>32,1.6950586383621535,1.1101766190289106,yAG0046
0.5,1,1.3603388801077296,1,yAG0029
1,1,1.6221987377986171,1.0552076529938863,yAG0029
16,1,1.4910327573987645,0.9358004352885783,yAG0029
2,1,1.5343088757070542,0.9483533953873207,yAG0029
32,1,1.2669411484132933,0.8678456514399364,yAG0029
4,1,1.6969483966947538,0.9751521601212142,yAG0029
8,1,1.5581500827023482,0.9093366468262083,yAG0029
0.5,>32,1.4265176726566036,1,yAG0058
1,>32,1.5567343352099614,1.0800467080042826,yAG0058
16,>32,1.4843548542394567,1.0013332557224444,yAG0058
2,>32,1.6500972253425576,1.1050168678315915,yAG0058
32,>32,1.3894646906551893,0.9481856093737944,yAG0058
4,>32,1.6787834049565558,1.1022584145373764,yAG0058
8,>32,1.5662963950812943,1.0610053900440883,yAG0058
0.5,1,1.033068672902378,1,HSC002
1,1,1.0701954991390292,1.083473337140508,HSC002
16,1,1.201275926464349,1.0382853879948557,HSC002
