Strain,Enviro,OD,MIC50
A01,0.39,1.6576216005327487,0.4
A01,0.2,1.630667273557569,0.4
A01,3.12,0.8913276635372921,0.4
A01,6.25,1.0756132251393347,0.4
A01,0.78,1.316883749748686,0.4
A01,1.56,0.9131548087508885,0.4
A01,12.5,0.900263608893194,0.4
A02,0.78,1.1052743750103602,0.8
A02,1.56,0.9834378041474163,0.8
A02,6.25,0.42066888159000865,0.8
A02,12.5,0.5466827063111106,0.8
A02,3.12,0.557589980274079,0.8
A02,0.2,0.9521084002112308,0.8
A02,0.39,1.712368602396001,0.8
A03,0.2,0.9653771001221723,0.8
A03,1.56,0.8365175535635315,0.8
A03,3.12,0.8288014130510382,0.8
A03,0.39,1.3891218165999377,0.8
A03,0.78,1.0722456462202066,0.8
A03,6.25,0.7868770495998236,0.8
A03,12.5,0.6441284501186947,0.8
A04,0.39,1.6649900515714509,0.8
A04,0.78,1.3499621608888934,0.8
A04,6.25,1.308410306271269,0.8
A04,12.5,0.6679420034180495,0.8
A04,1.56,0.9863097594835839,0.8
A04,3.12,0.9377834800956253,0.8
A04,0.2,1.679135363781706,0.8
A06,0.2,1.2485773044741668,0.4
A06,0.39,1.295963787192006,0.4
A06,0.78,1.3881712424168462,0.4
A06,1.56,0.9817642425469695,0.4
A06,3.12,0.8753710249798462,0.4
A06,6.25,0.7492082875527326,0.4
A06,12.5,0.7037836655843581,0.4
A07,0.2,1.2399088543485561,0.4
A07,0.39,1.5991273217359918,0.4
A07,0.78,1.591680109607228,0.4
A07,1.56,1.2843730914702935,0.4
A07,3.12,0.9688522364266344,0.4
A07,6.25,0.7758818280313109,0.4
A07,12.5,0.6008723430053592,0.4
A08,0.2,1.9112557342798004,0.8
A08,0.39,1.4508782288780602,0.8
A08,0.78,1.0083053783813596,0.8
A08,1.56,0.7603119707754498,0.8
A08,3.12,0.45000227100190104,0.8
A08,6.25,0.5396614260594224,0.8
A08,12.5,0.574634855337179,0.8
A09,0.2,1.094222122097935,0.4
A09,0.39,1.3340824487170868,0.4
A09,0.78,1.386071177467675,0.4
A09,1.56,1.1534038119496317,0.4
A09,3.12,0.9188847930788279,0.4
A09,6.25,0.7556544282893098,0.4
A09,12.5,0.6376471357691392,0.4
A11,0.2,1.3033933599812018,0.4
A11,0.39,1.4557698122267746,0.4
A11,0.78,1.5883364898249523,0.4
A11,1.56,1.2955363185598723,0.4
A11,3.12,1.0789661661910963,0.4
A11,6.25,0.8631482837456391,0.4
A11,12.5,0.5868144652465369,0.4
A13,0.2,1.5524060151348722,0.4
A13,0.39,1.705402175567795,0.4
A13,0.78,1.5852875103881356,0.4
A13,1.56,1.4149630555415396,0.4
A13,3.12,1.256641614386366,0.4
A13,6.25,1.2079533334972148,0.4
A13,12.5,1.0809918788175186,0.4
A14,0.2,1.493284648961096,0.8
A14,0.39,1.6089092401194118,0.8
A14,0.78,1.5830801983848524,0.8
A14,1.56,1.5100688638066582,0.8
A14,3.12,1.449459199086573,0.8
A14,6.25,1.2096314180710999,0.8
A14,12.5,1.0298538279475256,0.8
A15,0.2,1.4348783047116935,0.4
A15,0.39,1.523255538002294,0.4
A15,0.78,1.5170536268941819,0.4
A15,1.56,1.4522983785594794,0.4
A15,3.12,1.2586710655812083,0.4
A15,6.25,1.1423852323041022,0.4
A15,12.5,0.9798586794415115,0.4
A16,0.2,1.5283988786304683,0.4
A16,0.39,1.54077942302988,0.4
A16,0.78,1.2614293212177037,0.4
A16,1.56,1.2386941396842388,0.4
A16,3.12,1.1919482053761576,0.4
A16,6.25,1.0970306983140026,0.4
A16,12.5,0.8555725657242677,0.4
A17,0.2,1.5857630245139689,0.8
A17,0.39,1.4408927679307237,0.8
A17,0.78,1.3100827095600636,0.8
A17,1.56,1.258696032759305,0.8
A17,3.12,1.098259128154983,0.8
A17,6.25,1.1744185351398204,0.8
A17,12.5,0.9973269909860669,0.8
A18,0.2,1.6588333150311099,0.8
A18,0.39,1.7474456716020366,0.8
A18,0.78,1.592431290727315,0.8
A18,1.56,1.1218928081607669,0.8
A18,3.12,0.8881118881118882,0.8
A18,6.25,0.6099103035287465,0.8
A18,12.5,0.4212369655069288,0.8
A19,0.2,1.4001981048790084,0.4
A19,0.39,1.480019084772444,0.4
A19,0.78,1.2107462246390435,0.4
A19,1.56,1.0790983525873108,0.4
A19,3.12,1.0033629963092738,0.4
A19,6.25,0.83683600413349,0.4
A19,12.5,0.8146677130351235,0.4
A20,0.2,1.5637586346835748,0.4
A20,0.39,1.4406680628696782,0.4
A20,0.78,1.2980232293309157,0.4
A20,1.56,1.1081677081217598,0.4
A20,3.12,1.0610349258765652,0.4
A20,6.25,0.9573428049371371,0.4
A20,12.5,0.9620171304490572,0.4
A21,0.2,1.5041099335082617,0.4
A21,0.39,1.55725828660271,0.4
A21,0.78,1.5065006898758322,0.4
A21,1.56,1.3022749247845342,0.4
A21,3.12,1.2517931845616066,0.4
