Strain,Enviro,MIC50,Mass,Mass_norm,Activity,Activity_norm
yAG104,0,2,0.40908860544217684,1.6967039896622307,1.2458899659863945,1
yAG104,1,2,0.45338860544217685,1.8804392141151174,1.3161899659863945,1.051382884660791
yAG104,16,2,0.3969219387755102,1.6462424720359676,1.2857899659863945,1.024309546752094
yAG104,2,2,0.4213219387755102,1.7474420087549392,1.2903899659863944,1.0304975667467482
yAG104,32,2,0.3798552721088435,1.5754580966259766,1.2525899659863946,1.0079322295265833
yAG104,4,2,0.44598860544217683,1.8497475513396917,1.3341566326530612,1.052642022532682
yAG104,8,2,0.40948860544217686,1.6983629984609023,1.2514899659863945,0.9887655018469508
yAG106,0,1,0.20897193877551024,0.9525498386001472,0.32695663265306124,1
yAG106,1,1,0.23697193877551023,1.0801813073853226,0.33735663265306115,0.9941074994987451
yAG106,16,1,0.3080219387755102,1.4040461594277052,0.26675663265306127,0.7987669853295327
yAG106,2,1,0.2540719387755102,1.158127668679126,0.28900663265306126,0.8678352982161832
yAG106,32,1,0.37097193877551027,1.6909890508572336,0.23820663265306122,0.6745420997072185
yAG106,4,1,0.25437193877551023,1.1594951487018244,0.2790566326530612,0.7670789995976639
yAG106,8,1,0.3245219387755102,1.479257560676112,0.2894066326530612,0.8734692811749474
yAG109,0,0.0125,0.4297719387755102,1.0754971132067281,0.28495663265306126,1
yAG109,1,0.0125,0.5010219387755102,1.2537990505884664,0.2150566326530612,0.7858404866135222
yAG109,16,0.0125,0.4804719387755102,1.2023730181225758,0.20380663265306123,0.7119346386933882
yAG109,2,0.0125,0.4460719387755102,1.1162875915130066,0.2371566326530612,0.8551705572564723
yAG109,32,0.0125,0.5642219387755102,1.4119559971502331,0.14715663265306123,0.5242977542481184
yAG109,4,0.0125,0.4947719387755102,1.238158529765507,0.22000663265306122,0.7795436444760516
yAG109,8,0.0125,0.4926219387755102,1.232778190602409,0.21630663265306121,0.7901717906291266
yAG110,0,0.5,0.9870719387755101,1.7460272048922598,0.6440566326530612,1
yAG110,1,0.5,0.7821219387755102,1.3834920526047891,0.6277066326530613,0.9768116479894757
yAG110,16,0.5,0.6667219387755101,1.1793615008898628,0.5905066326530612,0.9190851687343602
yAG110,2,0.5,0.8789719387755102,1.5548095910241184,0.6808066326530613,1.0475216921127473
yAG110,32,0.5,0.8473219387755102,1.498824045428127,0.5131066326530612,0.8005710265262949
yAG110,4,0.5,0.7831219387755102,1.3852609482002392,0.5509066326530613,0.8644831353132967
yAG110,8,0.5,0.8432219387755102,1.4915715734867823,0.6152066326530612,0.9626911998908314
yAG112,0,1,0.41168860544217684,1.3529536367284478,1.0659566326530612,1
yAG112,1,1,0.4864219387755102,1.5985536698155285,1.1205899659863945,1.0310362130898862
yAG112,16,1,0.5124219387755101,1.683998819596047,1.1461566326530612,1.0504972240871064
yAG112,2,1,0.5740552721088436,1.8865476426014047,1.2128899659863945,1.116844857838862
yAG112,32,1,0.4281552721088435,1.4070688982561097,1.0986566326530611,1.0137318286760504
yAG112,4,1,0.5104552721088436,1.6775356608305978,1.1583232993197279,1.0696784852149217
yAG112,8,1,0.5394552721088435,1.772839866355022,1.1839566326530613,1.0852571712193222
yAG113,0,1,0.4650219387755102,1.427581162372778,1.9314566326530613,1
yAG113,1,1,0.5431219387755102,1.6673420843518547,2.002256632653061,1.0384280177297889
yAG113,16,1,0.5223552721088436,1.6035900338213536,1.964523299319728,1.0108702516752026
yAG113,2,1,0.5876219387755102,1.803953621202929,2.0511566326530613,1.0619466199146461
yAG113,32,1,0.4511552721088435,1.3850115748596343,1.9026899659863947,0.9788627184317976
yAG113,4,1,0.5844552721088435,1.7942322009775715,2.0593899659863943,1.06383367139906
yAG113,8,1,0.5804886054421768,1.7820548430110714,2.002623299319728,1.03154176367854
yAG116,0,0.5,0.13357193877551019,1.7521852035284509,0.3081566326530612,1
yAG116,1,0.5,0.09792193877551021,1.284531570000134,0.2372066326530612,0.770575889763142
yAG116,16,0.5,0.09442193877551021,1.2386188710562598,0.16835663265306122,0.5456352880169497
yAG116,2,0.5,0.0885219387755102,1.1612231785508722,0.2000066326530612,0.6511997970829919
yAG116,32,0.5,0.1062219387755102,1.3934102560670352,0.1652566326530612,0.53571408782331
yAG116,4,0.5,0.09177193877551021,1.2038563989987552,0.20365663265306122,0.6623745997883077
yAG116,8,0.5,0.07527193877551021,0.9874108182633489,0.1883066326530612,0.6128121957200177
yAG118,0,1,0.5780552721088436,1.2439749489631973,1.5610899659863944,1
yAG118,1,1,0.6809552721088434,1.465415749565757,1.4894566326530612,0.9576880299716894
yAG118,16,1,0.6635219387755101,1.4278992161303379,1.4456899659863944,0.9273388948948915
yAG118,2,1,0.6938886054421768,1.4932482829748253,1.4547899659863945,0.9324517174405444
yAG118,32,1,0.6321886054421768,1.3604698826135235,1.3935566326530613,0.8939792320675678
yAG118,4,1,0.7206552721088435,1.5508501497982317,1.4599899659863946,0.937582527424876
yAG118,8,1,0.6968552721088435,1.499632549658864,1.4515566326530611,0.9304748389085082
yAG121,0,1,0.5488886054421769,1.3004690200945295,2.9027566326530616,1
yAG121,1,1,0.6743552721088435,1.597734278357785,2.9891899659863945,1.031838918632506
yAG121,16,1,0.6807219387755102,1.6128186737691246,2.7902566326530613,0.9593128761629719
yAG121,2,1,0.6758552721088436,1.6012881935070535,3.0830566326530615,1.0665832620077573
yAG121,32,1,0.6128552721088435,1.4520237572377779,2.7188899659863948,0.9368882974055008
yAG121,4,1,0.6575552721088435,1.557930428685978,3.1245566326530616,1.0826727708414947
yAG121,8,1,0.6842886054421768,1.6212690942351629,3.089489965986395,1.0688427838104393
yAG190,0,1,0.6317552721088435,1.559162815685978,1.8979899659863944,1
yAG190,1,1,0.6814219387755102,1.6817394260674665,1.8269232993197277,0.9634924884304079
yAG190,16,1,0.6576219387755102,1.623001372502109,1.7512232993197279,0.922012240125372
yAG190,2,1,0.6438552721088435,1.5890254395574415,1.7621232993197278,0.9280037807785926
yAG190,32,1,0.5877886054421768,1.4506537223348484,1.6497899659863944,0.8680223016114862
yAG190,4,1,0.6780886054421769,1.673512807921058,1.7941566326530611,0.9449064296427236
yAG190,8,1,0.6699552721088435,1.653439859643821,1.8328232993197278,0.9657183485983912
yAG32,0,1,0.5538552721088436,1.4418014388489209,1.9046232993197278,1
yAG32,1,1,0.5943886054421769,1.547318206972883,2.050223299319728,1.078716014174161
yAG32,16,1,0.6289886054421768,1.6373892639734364,2.0406232993197277,1.0669632261957538
yAG32,2,1,0.6311219387755101,1.642942778085224,2.124023299319728,1.1160875859982349
yAG32,32,1,0.5879219387755101,1.5304841173215271,2.026023299319728,1.0575847237518183
yAG32,4,1,0.6031886054421769,1.5702264526840066,2.2127566326530617,1.1642541047260218
yAG32,8,1,0.6157552721088435,1.6029401217487547,2.0558899659863945,1.0758518183327404
yAG192,0,1,0.5523552721088435,1.444414153426329,1.4119566326530613,1
yAG192,1,1,0.6184886054421769,1.617353432733334,1.4418899659863944,1.020831911863494
yAG192,16,1,0.6296219387755102,1.6464672025360254,1.4391566326530612,1.0180817267840037
yAG192,2,1,0.6341552721088435,1.6583219111981988,1.5108566326530612,1.0704936797549893
yAG192,32,1,0.5397552721088436,1.4114650367035229,1.323056632653061,0.9349827688581112
yAG192,4,1,0.62335527210884345,1.6300798111500792,1.5640232993197278,1.1086640971183972
yAG192,8,1,0.6078552721088435,1.5895471675625,1.4689232993197279,1.0408713721736809
yAG193,0,1,0.6700219387755102,1.4500899191206404,1.3006899659863944,1
yAG193,1,1,0.7074886054421768,1.5311768694012189,1.3030899659863946,1.0018900219897449
yAG193,16,1,0.6942552721088435,1.5025367277095911,1.2886232993197277,0.9895175820687359
yAG193,2,1,0.6841886054421769,1.4807500204277986,1.2955232993197279,0.9965000181605504
yAG193,32,1,0.6850219387755102,1.482553555798808,1.2956899659863945,0.9942580633153273
yAG193,4,1,0.6720886054421769,1.4545626868407435,1.2511232993197277,0.9608127343760969
yAG193,8,1,0.7009219387755101,1.5169650106776655,1.2964232993197278,0.9959714973225736
yAG3,0,0.0125,1.0235719387755102,1.5479778767821954,1.0128566326530613,1
yAG3,1,0.0125,0.9291719387755102,1.4052139868859441,0.8989066326530613,0.8864388785458583
yAG3,16,0.0125,1.0029719387755103,1.5168238923344965,1.1136566326530613,1.0964203029771977
yAG3,2,0.0125,0.8914219387755101,1.348123554220865,0.8126566326530613,0.8041074200022875
yAG3,32,0.0125,0.9269719387755102,1.4018868623332774,0.9975566326530612,0.9859213163657714
yAG3,4,0.0125,0.8586719387755102,1.2985947682663923,0.7361566326530613,0.7300670725283768
yAG3,8,0.0125,0.9287719387755102,1.4046090551490957,0.8385066326530612,0.8315494609281953
yAG126,0,4,0.2877219387755102,1.2118096294099698,0.45060663265306117,1
yAG126,1,4,0.2898219387755102,1.2206542807166834,0.4363566326530612,0.9741893319989793
yAG126,16,4,0.26622193877551026,1.1212572469840945,0.3104566326530612,0.6851744897700578
yAG126,2,4,0.33577193877551026,1.4141836747850083,0.41870663265306124,0.9380665843380255
yAG126,32,4,0.2271219387755102,0.9565782631305253,0.2443066326530612,0.5412663945790082
yAG126,4,4,0.3505719387755102,1.4765174078037502,0.4244066326530612,0.9487822242194353
yAG126,8,4,0.38722193877551025,1.630877631799487,0.37475663265306125,0.8395954542303143
yAG117,0,1,0.6105552721088435,1.4070927951098335,1.5549899659863944,1
yAG117,1,1,0.6944552721088435,1.600449712825007,1.5760566326530612,1.0210907542968508
yAG117,16,1,0.6910886054421769,1.5926908535920978,1.5489566326530613,0.9957567617257895
yAG117,2,1,0.6682886054421768,1.5401457078959602,1.5578899659863945,1.0026267641705138
yAG117,32,1,0.6832219387755102,1.5745612419191615,1.5411899659863946,0.996547105118142
yAG117,4,1,0.6968886054421769,1.6060576011814665,1.5594566326530612,0.997738918053355
yAG117,8,1,0.7244886054421769,1.669664882813633,1.5691232993197277,1.0066770694578084
yAG98,0,1,0.6428886054421769,1.5050460370255057,2.2269232993197283,1
yAG98,1,1,0.6151552721088435,1.4401204137161112,2.0303566326530613,0.9127689979308312
yAG98,16,1,0.6985886054421768,1.6354435328788688,2.156423299319728,0.9676284722104704
yAG98,2,1,0.6801552721088435,1.5922898433475046,2.170623299319728,0.9764869055948721
yAG98,32,1,0.6671552721088435,1.5618559574212258,2.051423299319728,0.9212279749893814
yAG98,4,1,0.6560219387755102,1.5357920653715411,2.0923899659863947,0.9390873922803921
yAG98,8,1,0.6984552721088435,1.635131390459112,2.1273232993197277,0.9555723407999319
yAG43,0,1,0.5545552721088435,1.4564787427629091,1.2234232993197278,1
yAG43,1,1,0.6364886054421768,1.6716676776185961,1.3495566326530612,1.102303229995651
yAG43,16,1,0.6148552721088435,1.61485009473766,1.308856632653061,1.0670921592525429
yAG43,2,1,0.5753886054421768,1.5111952131798354,1.252256632653061,1.0211085317730109
