Strain,Enviro,Activity_norm,MIC50
yAG104,1,1.051382884660791,2
yAG104,0.5,1,2
yAG104,8,0.9887655018469508,2
yAG104,16,1.024309546752094,2
yAG104,2,1.0304975667467482,2
yAG104,4,1.052642022532682,2
yAG104,32,1.0079322295265833,2
yAG106,2,0.8678352982161832,1
yAG106,4,0.7670789995976639,1
yAG106,16,0.7987669853295327,1
yAG106,32,0.6745420997072185,1
yAG106,8,0.8734692811749474,1
yAG106,0.5,1,1
yAG106,1,0.9941074994987451,1
yAG109,0.5,1,0.0125
yAG109,4,0.7795436444760516,0.0125
yAG109,8,0.7901717906291266,0.0125
yAG109,1,0.7858404866135222,0.0125
yAG109,2,0.8551705572564723,0.0125
yAG109,16,0.7119346386933882,0.0125
yAG109,32,0.5242977542481184,0.0125
yAG110,1,0.9768116479894757,0.5
yAG110,2,1.0475216921127473,0.5
yAG110,16,0.9190851687343602,0.5
yAG110,32,0.8005710265262949,0.5
yAG110,4,0.8644831353132967,0.5
yAG110,8,0.9626911998908314,0.5
yAG110,0.5,1,0.5
yAG112,0.5,1,1
yAG112,1,1.0310362130898862,1
yAG112,2,1.116844857838862,1
yAG112,4,1.0696784852149217,1
yAG112,8,1.0852571712193222,1
yAG112,16,1.0504972240871064,1
yAG112,32,1.0137318286760504,1
yAG113,0.5,1,1
yAG113,1,1.0384280177297889,1
yAG113,2,1.0619466199146461,1
yAG113,4,1.06383367139906,1
yAG113,8,1.03154176367854,1
yAG113,16,1.0108702516752026,1
yAG113,32,0.9788627184317976,1
yAG116,0.5,1,0.5
yAG116,1,0.770575889763142,0.5
yAG116,2,0.6511997970829919,0.5
yAG116,4,0.6623745997883077,0.5
yAG116,8,0.6128121957200177,0.5
yAG116,16,0.5456352880169497,0.5
yAG116,32,0.53571408782331,0.5
yAG118,0.5,1,1
yAG118,1,0.9576880299716894,1
yAG118,2,0.9324517174405444,1
yAG118,4,0.937582527424876,1
yAG118,8,0.9304748389085082,1
yAG118,16,0.9273388948948915,1
yAG118,32,0.8939792320675678,1
yAG121,0.5,1,1
yAG121,1,1.031838918632506,1
yAG121,2,1.0665832620077573,1
yAG121,4,1.0826727708414947,1
