Strain,enviro,OD,MIC50
A01,1,1.8804392141151174,2
A01,0.5,1.6967039896622307,2
A01,8,1.6983629984609023,2
A01,16,1.6462424720359676,2
A01,2,1.7474420087549392,2
A01,4,1.8497475513396917,2
A01,32,1.5754580966259766,2
A02,2,1.158127668679126,1
A02,4,1.1594951487018244,1
A02,16,1.4040461594277052,1
A02,32,1.6909890508572336,1
A02,8,1.479257560676112,1
A02,0.5,0.9525498386001472,1
A02,1,1.0801813073853226,1
A03,0.5,1.0754971132067281,0.0125
A03,4,1.238158529765507,0.0125
A03,8,1.232778190602409,0.0125
A03,1,1.2537990505884664,0.0125
A03,2,1.1162875915130066,0.0125
A03,16,1.2023730181225758,0.0125
A03,32,1.4119559971502331,0.0125
A04,1,1.3834920526047891,0.5
A04,2,1.5548095910241184,0.5
A04,16,1.1793615008898628,0.5
A04,32,1.498824045428127,0.5
A04,4,1.3852609482002392,0.5
A04,8,1.4915715734867823,0.5
A04,0.5,1.7460272048922598,0.5
A06,0.5,1.3529536367284478,1
A06,1,1.5985536698155285,1
A06,2,1.8865476426014047,1
A06,4,1.6775356608305978,1
A06,8,1.772839866355022,1
A06,16,1.683998819596047,1
A06,32,1.4070688982561097,1
A07,0.5,1.427581162372778,1
A07,1,1.6673420843518547,1
A07,2,1.803953621202929,1
A07,4,1.7942322009775715,1
A07,8,1.7820548430110714,1
A07,16,1.6035900338213536,1
A07,32,1.3850115748596343,1
A08,0.5,1.7521852035284509,0.5
A08,1,1.284531570000134,0.5
A08,2,1.1612231785508722,0.5
A08,4,1.2038563989987552,0.5
A08,8,0.9874108182633489,0.5
A08,16,1.2386188710562598,0.5
A08,32,1.3934102560670352,0.5
A09,0.5,1.2439749489631973,1
A09,1,1.465415749565757,1
A09,2,1.4932482829748253,1
A09,4,1.5508501497982317,1
A09,8,1.499632549658864,1
A09,16,1.4278992161303379,1
A09,32,1.3604698826135235,1
A11,0.5,1.3004690200945295,1
A11,1,1.597734278357785,1
A11,2,1.6012881935070535,1
A11,4,1.557930428685978,1
A11,8,1.6212690942351629,1
A11,16,1.6128186737691246,1
A11,32,1.4520237572377779,1
