Strain,Drug,Species,Type,RAD50,FoG50
yAG10,BA,C.albicans,yAG,11.5,0.09
yAG10,FLC,C.albicans,yAG,4.25,0.9225
yAG100,BA,C.albicans,yAG,15.75,0.26
yAG100,FLC,C.albicans,yAG,22,0.4
yAG104,BA,C.albicans,yAG,13.25,0.1575
yAG104,FLC,C.albicans,yAG,15.25,0.67
yAG106,BA,C.albicans,yAG,10.25,0.16
yAG106,FLC,C.albicans,yAG,16.75,0.4
yAG107,BA,C.albicans,yAG,11.5,0.1275
yAG107,FLC,C.albicans,yAG,17.5,0.695
yAG108,BA,C.albicans,yAG,10.5,0.1825
yAG108,FLC,C.albicans,yAG,11,0.7725
yAG109,BA,C.albicans,yAG,14,0.16
yAG109,FLC,C.albicans,yAG,7.75,
yAG11,BA,C.albicans,yAG,12.75,0.15
yAG11,FLC,C.albicans,yAG,5.5,
yAG12,BA,C.albicans,yAG,13.25,0.13
yAG12,FLC,C.albicans,yAG,3,
yAG14,BA,C.albicans,yAG,10.5,0.1025
yAG14,FLC,C.albicans,yAG,19,0.7325
yAG16,BA,C.albicans,yAG,11.75,0.125
yAG16,FLC,C.albicans,yAG,12,0.905
yAG17,BA,C.albicans,yAG,12,0.11
yAG17,FLC,C.albicans,yAG,16.25,0.7075
yAG18,BA,C.albicans,yAG,16.5,0.1975
yAG18,FLC,C.albicans,yAG,0.75,
yAG20,BA,C.albicans,yAG,12.25,0.1625
yAG20,FLC,C.albicans,yAG,7.25,0.8075
yAG21,BA,C.albicans,yAG,15.5,0.1675
yAG21,FLC,C.albicans,yAG,0,
yAG22,BA,C.albicans,yAG,11.5,0.14
yAG22,FLC,C.albicans,yAG,7.25,0.4875
yAG23,BA,C.albicans,yAG,10,0.145
yAG23,FLC,C.albicans,yAG,19.5,0.7475
yAG24,BA,C.albicans,yAG,10.25,0.105
yAG24,FLC,C.albicans,yAG,16.25,0.715
yAG25,BA,C.albicans,yAG,11.5,0.145
yAG25,FLC,C.albicans,yAG,15.25,0.735
yAG37,BA,C.albicans,yAG,14,0.115
yAG37,FLC,C.albicans,yAG,18.25,0.775
yAG38,BA,C.albicans,yAG,14,0.3925
yAG38,FLC,C.albicans,yAG,11,0.505
yAG39,BA,C.albicans,yAG,12.5,0.0925
yAG39,FLC,C.albicans,yAG,17,0.86
yAG41,BA,C.albicans,yAG,11.5,0.0875
yAG41,FLC,C.albicans,yAG,6,
yAG42,BA,C.albicans,yAG,14.25,0.085
yAG42,FLC,C.albicans,yAG,18.5,0.65
yAG50,BA,C.albicans,yAG,14.75,0.135
yAG50,FLC,C.albicans,yAG,19.5,0.6775
yAG51,BA,C.albicans,yAG,10.5,0.1875
yAG51,FLC,C.albicans,yAG,6.75,
yAG52,BA,C.albicans,yAG,11.25,0.14
yAG52,FLC,C.albicans,yAG,15.75,0.855
yAG53,BA,C.albicans,yAG,10,0.1625
yAG53,FLC,C.albicans,yAG,17.5,0.775
yAG54,BA,C.albicans,yAG,16.5,0.1775
yAG54,FLC,C.albicans,yAG,2.25,0.6525
yAG56,BA,C.albicans,yAG,11,0.18
yAG56,FLC,C.albicans,yAG,20.25,0.64
yAG63,BA,C.albicans,yAG,9.5,0.1625
yAG63,FLC,C.albicans,yAG,16.5,0.755
yAG64,BA,C.albicans,yAG,12,0.1075
yAG64,FLC,C.albicans,yAG,18,0.665
