Strain,Drug,Species,RAD50,FoG50
yAG10,BA,C.albicans,11.5,0.09
yAG10,FLC,C.albicans,4.25,0.9225000000000001
yAG100,BA,C.albicans,15.75,0.26
yAG100,FLC,C.albicans,22,0.4
yAG104,BA,C.albicans,14.333333333333334,0.14500000000000002
yAG104,FLC,C.albicans,15.666666666666666,0.5625
yAG106,BA,C.albicans,11.416666666666666,0.15
yAG106,FLC,C.albicans,17.25,0.39416666666666667
yAG107,BA,C.albicans,11.5,0.1275
yAG107,FLC,C.albicans,17.5,0.695
yAG108,BA,C.albicans,10.5,0.1825
yAG108,FLC,C.albicans,12.5,0.6950000000000001
yAG109,BA,C.albicans,13,0.11
yAG109,FLC,C.albicans,8.75,0.8999999999999999
yAG11,BA,C.albicans,12.75,0.15
yAG11,FLC,C.albicans,7,0.7949999999999999
yAG110,BA,C.albicans,13.5,0.12250000000000001
yAG110,FLC,C.albicans,19.5,0.6025
yAG112,BA,C.albicans,15,0.12000000000000001
yAG112,FLC,C.albicans,18.75,0.6125
yAG113,BA,C.albicans,13.5,0.1275
yAG113,FLC,C.albicans,19.25,0.44499999999999995
yAG116,BA,C.albicans,11.75,0.16749999999999998
yAG116,FLC,C.albicans,16.5,0.845
yAG118,BA,C.albicans,13.5,0.155
yAG118,FLC,C.albicans,18.5,0.605
yAG119,BA,C.albicans,15.5,0.10250000000000001
yAG119,FLC,C.albicans,18.75,0.6525
yAG12,BA,C.albicans,13.25,0.13
yAG12,FLC,C.albicans,3,NA
yAG121,BA,C.albicans,12.25,0.12
yAG121,FLC,C.albicans,21.75,0.5549999999999999
yAG126,BA,C.albicans,15.5,0.0925
yAG126,FLC,C.albicans,13.5,0.16749999999999998
yAG14,BA,C.albicans,10.5,0.10250000000000001
yAG14,FLC,C.albicans,19,0.7325
yAG16,BA,C.albicans,11.75,0.125
yAG16,FLC,C.albicans,14,0.87
yAG17,BA,C.albicans,12,0.11
yAG17,FLC,C.albicans,16.25,0.7075
yAG18,BA,C.albicans,16.5,0.1975
yAG18,FLC,C.albicans,0.75,NA
yAG20,BA,C.albicans,12.25,0.1625
yAG20,FLC,C.albicans,9,0.7925
yAG21,BA,C.albicans,15.5,0.16749999999999998
yAG21,FLC,C.albicans,0,NA
yAG22,BA,C.albicans,11.5,0.14
yAG22,FLC,C.albicans,7.25,0.4875
yAG23,BA,C.albicans,10,0.14500000000000002
yAG23,FLC,C.albicans,19.5,0.7475
yAG24,BA,C.albicans,10.25,0.10500000000000001
yAG24,FLC,C.albicans,16.25,0.715
yAG25,BA,C.albicans,11.5,0.145
yAG25,FLC,C.albicans,15.25,0.735
yAG29,BA,C.albicans,10.75,0.17250000000000001
yAG29,FLC,C.albicans,18.75,0.6200000000000001
yAG3,BA,C.albicans,10.5,0.155
yAG3,FLC,C.albicans,22.25,0.52
yAG32,BA,C.albicans,13.25,0.14
yAG32,FLC,C.albicans,22.5,0.39
yAG37,BA,C.albicans,14,0.115
yAG37,FLC,C.albicans,18.25,0.775
