Strain,Drug,Species,Year,RAD50,FoG50
HSC001,BA,C.parapsilosis,2013,13.25,0.10500000000000001
HSC001,FLC,C.parapsilosis,2013,23.75,0.0875
HSC002,BA,C.albicans,2013,11.25,0.16999999999999998
HSC002,FLC,C.albicans,2013,20,0.5325
HSC003,BA,C.glabrata,2013,9,0.44999999999999996
HSC003,FLC,C.glabrata,2013,13.25,0.18
HSC005,BA,C.glabrata,2013,7.75,0.435
HSC005,FLC,C.glabrata,2013,10.5,0.33999999999999997
HSC006,BA,C.tropicalis,2013,9,0.2725
HSC006,FLC,C.tropicalis,2013,17.25,0.325
HSC007,BA,C.albicans,2013,11.5,0.15
HSC007,FLC,C.albicans,2013,18,0.2675
HSC008,BA,C.albicans,2013,12.5,0.1625
HSC008,FLC,C.albicans,2013,19.75,0.3425
HSC012,BA,C.albicans,2013,14.25,0.20750000000000002
HSC012,FLC,C.albicans,2013,20.75,0.225
HSC013,BA,C.glabrata,2013,7,0.45999999999999996
HSC013,FLC,C.glabrata,2013,19.5,0.2875
HSC014,BA,C.albicans,2013,11.5,0.135
HSC014,FLC,C.albicans,2013,19.5,0.385
HSC015,BA,C.albicans,2013,11.75,0.0925
HSC015,FLC,C.albicans,2013,17.5,0.18
HSC017,BA,C.glabrata,2013,8,0.38
HSC017,FLC,C.glabrata,2013,13.5,0.20750000000000002
HSC020,BA,C.albicans,2013,12.5,0.20750000000000002
HSC020,FLC,C.albicans,2013,19.75,0.475
HSC024,BA,C.glabrata,2013,9.75,0.27749999999999997
HSC024,FLC,C.glabrata,2013,18.25,0.07750000000000001
HSC026,BA,C.tropicalis,2013,9,0.28250000000000003
HSC026,FLC,C.tropicalis,2013,18,0.6475
HSC027,BA,C.glabrata,2013,9.25,0.325
HSC027,FLC,C.glabrata,2013,13,0.195
HSC028,BA,C.albicans,2013,12,0.155
HSC028,FLC,C.albicans,2013,20.25,0.39249999999999996
HSC029,BA,C.albicans,2013,12.75,0.14500000000000002
HSC029,FLC,C.albicans,2013,19.75,0.5425
HSC030,BA,C.albicans,2013,12.25,0.15999999999999998
HSC030,FLC,C.albicans,2013,20,0.375
HSC031,BA,C.albicans,2013,10.5,0.27
HSC031,FLC,C.albicans,2013,12.75,0.2025
HSC032,BA,C.parapsilosis,2013,12.5,0.085
HSC032,FLC,C.parapsilosis,2013,22,0.0875
HSC033,BA,C.parapsilosis,2013,13.75,0.08750000000000001
HSC033,FLC,C.parapsilosis,2013,22.5,0.095
HSC034,BA,C.albicans,2013,12.25,0.12250000000000001
HSC034,FLC,C.albicans,2013,20.75,0.375
HSC036,BA,C.tropicalis,2013,8.25,0.30000000000000004
HSC036,FLC,C.tropicalis,2013,18,0.5525
HSC037,BA,C.parapsilosis,2013,7.25,0.20500000000000002
HSC037,FLC,C.parapsilosis,2013,21.25,0.0925
HSC038,BA,C.albicans,2013,12.75,0.15
HSC038,FLC,C.albicans,2013,19,0.3275
HSC039,BA,C.parapsilosis,2013,11.25,0.12250000000000001
HSC039,FLC,C.parapsilosis,2013,21,0.10500000000000001
HSC040,BA,C.parapsilosis,2013,12.25,0.095
HSC040,FLC,C.parapsilosis,2013,21.5,0.1175
HSC041,BA,C.albicans,2013,11.5,0.1325
HSC041,FLC,C.albicans,2013,18.5,0.27749999999999997
HSC042,BA,C.albicans,2013,12.25,0.105
HSC042,FLC,C.albicans,2013,18,0.4175
HSC043,BA,C.albicans,2013,11.5,0.10250000000000001
HSC043,FLC,C.albicans,2013,19.25,0.5974999999999999
HSC044,BA,C.albicans,2013,12.75,0.10500000000000001
HSC044,FLC,C.albicans,2013,18.75,0.5049999999999999
HSC045,BA,C.glabrata,2013,10.5,0.2075
HSC045,FLC,C.glabrata,2013,14,0.0875
HSC046,BA,C.albicans,2013,10.75,0.1875
HSC046,FLC,C.albicans,2013,17.25,0.4425
HSC047,BA,C.albicans,2013,11,0.165
HSC047,FLC,C.albicans,2013,18,0.6025
HSC048,BA,C.albicans,2013,11.25,0.2725
HSC048,FLC,C.albicans,2013,17.5,0.4275
HSC049,BA,C.tropicalis,2013,11,0.255
HSC049,FLC,C.tropicalis,2013,15,0.6425000000000001
HSC051,BA,C.albicans,2013,12,0.11500000000000002
HSC051,FLC,C.albicans,2013,22,0.31
HSC052,BA,C.glabrata,2013,9.25,0.45
HSC052,FLC,C.glabrata,2013,13,0.3125
HSC053,BA,C.glabrata,2013,10,0.4625
HSC053,FLC,C.glabrata,2013,12.25,0.2275
HSC054,BA,C.albicans,2013,13,0.13
HSC054,FLC,C.albicans,2013,18.25,0.5725
