Strain,Drug,Species,Origin,Year,RAD50_B01,FoG50_B01,RAD50_B02,FoG50_B02,RAD50_B03,FoG50_B03
HSC001,BA,C.parapsilosis,Knee,2013,12.5,0.10500000000000001,14,0.10500000000000001,15,0.07500000000000001
HSC001,FLC,C.parapsilosis,Knee,2013,24,0.08,23.5,0.095,22,0.1
HSC002,BA,C.albicans,Blood,2013,11,0.175,11.5,0.165,12.5,0.155
HSC002,FLC,C.albicans,Blood,2013,21,0.475,19,0.59,18.5,0.53
HSC003,BA,C.glabrata,Bladder,2013,12,0.295,6,0.605,4,0.5700000000000001
HSC003,FLC,C.glabrata,Bladder,2013,13.5,0.13,13,0.23,11.5,0.3
HSC005,BA,C.glabrata,Abdomen,2013,8.5,0.415,7,0.455,7.5,0.49
HSC005,FLC,C.glabrata,Abdomen,2013,11,0.355,10,0.325,9,0.375
HSC006,BA,C.tropicalis,Urine,2013,10,0.27,8,0.275,6.5,0.655
HSC006,FLC,C.tropicalis,Urine,2013,19,0.28,15.5,0.37,18.5,0.45
HSC007,BA,C.albicans,L D2 tip,2013,10,0.15,13,0.15,12.5,0.105
HSC007,FLC,C.albicans,L D2 tip,2013,19,0.125,17,0.41000000000000003,17.5,0.39
HSC008,BA,C.albicans,Pelvic,2013,12,0.17,13,0.155,11.5,0.15000000000000002
HSC008,FLC,C.albicans,Pelvic,2013,21,0.18,18.5,0.505,18,0.405
HSC013,BA,C.glabrata,Urine,2013,6,0.585,8,0.335,7,0.475
HSC013,FLC,C.glabrata,Urine,2013,20,0.18,19,0.395,19.5,0.42000000000000004
HSC014,BA,C.albicans,Neck,2013,10.5,0.12,12.5,0.15000000000000002,15,0.095
HSC014,FLC,C.albicans,Neck,2013,21,0.28,18,0.49,20,0.305
HSC015,BA,C.albicans,Abdomen,2013,11.5,0.095,12,0.09,11,0.105
HSC015,FLC,C.albicans,Abdomen,2013,17,0.08499999999999999,18,0.275,17.5,0.355
HSC017,BA,C.glabrata,Abdomen,2013,6.5,0.42000000000000004,9.5,0.33999999999999997,6.5,0.505
HSC017,FLC,C.glabrata,Abdomen,2013,14,0.16,13,0.255,12.5,0.33999999999999997
HSC020,BA,C.albicans,Neck,2013,11,0.14500000000000002,14,0.27,11.5,0.095
HSC020,FLC,C.albicans,Neck,2013,21.5,0.305,18,0.645,17.5,0.33999999999999997
HSC024,BA,C.glabrata,Neck,2013,10.5,0.245,9,0.31,10,0.39
HSC024,FLC,C.glabrata,Neck,2013,18,0.08,18.5,0.07500000000000001,16,0.07500000000000001
HSC026,BA,C.tropicalis,Urine,2013,8,0.28,10,0.28500000000000003,5.5,0.705
HSC026,FLC,C.tropicalis,Urine,2013,15,0.76,21,0.5349999999999999,15,0.575
HSC027,BA,C.glabrata,Lung,2013,8,0.37,10.5,0.28,8.5,0.465
HSC027,FLC,C.glabrata,Lung,2013,12.5,0.135,13.5,0.255,11.5,0.32
HSC028,BA,C.albicans,Abdomen,2013,10,0.155,14,0.155,12.5,0.18
HSC028,FLC,C.albicans,Abdomen,2013,22,0.32499999999999996,18.5,0.45999999999999996,19,0.3
HSC029,BA,C.albicans,Pleural,2013,11,0.16,14.5,0.13,14,0.125
HSC029,FLC,C.albicans,Pleural,2013,22,0.46499999999999997,17.5,0.62,18,0.32499999999999996
HSC030,BA,C.albicans,Pleural,2013,11,0.205,13.5,0.11499999999999999,11.5,0.12
HSC030,FLC,C.albicans,Pleural,2013,22,0.225,18,0.525,17.5,0.255
HSC032,BA,C.parapsilosis,Foot,2013,12,0.07,13,0.1,10,0.07
HSC032,FLC,C.parapsilosis,Foot,2013,23.5,0.095,20.5,0.08,21.5,0.09
HSC033,BA,C.parapsilosis,Foot,2013,12,0.07500000000000001,15.5,0.1,13.5,0.10500000000000001
HSC033,FLC,C.parapsilosis,Foot,2013,24,0.095,21,0.095,23,0.135
HSC036,BA,C.tropicalis,Urine,2013,8,0.41500000000000004,8.5,0.185,6.5,0.6399999999999999
HSC036,FLC,C.tropicalis,Urine,2013,19,0.48,17,0.625,17,0.515
HSC037,BA,C.parapsilosis,Urine,2013,7.5,0.28,7,0.13,4.5,0.45499999999999996
HSC037,FLC,C.parapsilosis,Urine,2013,23,0.11,19.5,0.07500000000000001,19.5,0.11
HSC038,BA,C.albicans,Abdomen,2013,12.5,0.22,13,0.08,11.5,0.16
HSC038,FLC,C.albicans,Abdomen,2013,21.5,0.28,16.5,0.375,17.5,0.42
HSC039,BA,C.parapsilosis,Abdomen,2013,10,0.15500000000000003,12.5,0.09,11.5,0.09
HSC039,FLC,C.parapsilosis,Abdomen,2013,22.5,0.11,19.5,0.1,18,0.13
HSC040,BA,C.parapsilosis,Abdomen,2013,11.5,0.1,13,0.09,11,0.12000000000000001
HSC040,FLC,C.parapsilosis,Abdomen,2013,22.5,0.125,20.5,0.11,17.5,0.16
HSC041,BA,C.albicans,Urine,2013,10.5,0.155,12.5,0.11,11.5,0.11499999999999999
HSC041,FLC,C.albicans,Urine,2013,18.5,0.215,18.5,0.33999999999999997,18,0.22999999999999998
HSC042,BA,C.albicans,Urine,2013,11.5,0.09,13,0.12,10,0.14500000000000002
HSC042,FLC,C.albicans,Urine,2013,18,0.475,18,0.36,18,0.375
HSC043,BA,C.albicans,Knee,2013,11.5,0.115,11.5,0.09,10,0.11499999999999999
HSC043,FLC,C.albicans,Knee,2013,19,0.595,19.5,0.6,17.5,0.7250000000000001
HSC044,BA,C.albicans,Vagina,2013,13.5,0.1,12,0.11,11,0.065
HSC044,FLC,C.albicans,Vagina,2013,19.5,0.6599999999999999,18,0.35,17,0.6799999999999999
HSC045,BA,C.glabrata,Urine,2013,8.5,0.22499999999999998,12.5,0.19,11.5,0.11499999999999999
HSC045,FLC,C.glabrata,Urine,2013,14,0.09,14,0.08499999999999999,13,0.09
HSC046,BA,C.albicans,Abscess,2013,11,0.26,10.5,0.11499999999999999,10.5,0.11
HSC046,FLC,C.albicans,Abscess,2013,17.5,0.52,17,0.365,16,0.615
HSC047,BA,C.albicans,Esophagus,2013,8.5,0.22,13.5,0.11,11,0.11499999999999999
HSC047,FLC,C.albicans,Esophagus,2013,18.5,0.59,17.5,0.615,16.5,0.635
HSC049,BA,C.tropicalis,Urine,2013,11,0.215,11,0.295,8,0.515
HSC049,FLC,C.tropicalis,Urine,2013,14,0.675,16,0.6100000000000001,12,0.815
HSC051,BA,C.albicans,Amniotic fluid,2013,11.5,0.15000000000000002,12.5,0.08,13,0.115
HSC051,FLC,C.albicans,Amniotic fluid,2013,22,0.36,22,0.26,21,0.14500000000000002
HSC052,BA,C.glabrata,Lung,2013,7.5,0.615,11,0.28500000000000003,11,0.25
HSC052,FLC,C.glabrata,Lung,2013,12,0.365,14,0.26,12,0.41500000000000004
HSC053,BA,C.glabrata,Abdomen,2013,8.5,0.635,11.5,0.29,10.5,0.30000000000000004
HSC053,FLC,C.glabrata,Abdomen,2013,11,0.18,13.5,0.275,12.5,0.31
HSC054,BA,C.albicans,Throat,2013,12,0.14500000000000002,14,0.11499999999999999,13.5,0.1
HSC054,FLC,C.albicans,Throat,2013,18.5,0.475,18,0.67,17.5,0.42500000000000004
HSC055,BA,C.albicans,Neck,2013,13,0.13,14,0.095,12,0.095
HSC055,FLC,C.albicans,Neck,2013,19.5,0.325,19,0.455,17.5,0.32999999999999996
HSC057,BA,C.albicans,Oropharynx,2013,11.5,0.16,15.5,0.20500000000000002,11.5,0.11
HSC057,FLC,C.albicans,Oropharynx,2013,19.5,0.34,18.5,0.5349999999999999,17,0.215
HSC058,BA,C.albicans,Abdomen,2013,13.5,0.12,15.5,0.08,12,0.07
HSC058,FLC,C.albicans,Abdomen,2013,19,0.37,18,0.43,16.5,0.32
HSC062,BA,C.albicans,Scalp,2013,12,0.175,16,0.11,11.5,0.11499999999999999
HSC062,FLC,C.albicans,Scalp,2013,18.5,0.175,22.5,0.095,19.5,0.115
HSC066,BA,C.glabrata,Lymph node,2013,11,0.355,14.5,0.2,8,0.395
HSC066,FLC,C.glabrata,Lymph node,2013,12,0.21000000000000002,15.5,0.105,14,0.16
