Strain,Drug,Species,RAD20,FoG20,RAD50,FoG50
HSC001,BA,C.parapsilosis,15,0.12250000000000001,13.75,0.09000000000000001
HSC001,FLC,C.parapsilosis,25.166666666666668,0.11833333333333333,23.166666666666668,0.09166666666666667
HSC002,BA,C.albicans,14.75,0.2475,11.75,0.16499999999999998
HSC002,FLC,C.albicans,21.833333333333332,0.42333333333333334,19.5,0.5316666666666666
HSC003,BA,C.glabrata,12.75,0.4875,8,0.4325
HSC003,FLC,C.glabrata,15.5,0.2633333333333333,12.666666666666666,0.22
HSC005,BA,C.glabrata,12.25,0.4575,8,0.4525
HSC005,FLC,C.glabrata,12.5,0.3416666666666667,10,0.3516666666666667
HSC006,BA,C.tropicalis,9.75,0.39,8.25,0.4625
HSC006,FLC,C.tropicalis,19.833333333333332,0.335,17.666666666666668,0.3666666666666667
HSC007,BA,C.albicans,13,0.18,11.25,0.1275
HSC007,FLC,C.albicans,20.666666666666668,0.27999999999999997,17.833333333333332,0.30833333333333335
HSC008,BA,C.albicans,13.75,0.21000000000000002,11.75,0.16000000000000003
HSC008,FLC,C.albicans,22.333333333333332,0.31666666666666665,19.166666666666668,0.36333333333333334
HSC012,BA,C.albicans,14,0.14500000000000002,13,0.135
HSC012,FLC,C.albicans,23.25,0.22999999999999998,20.75,0.225
HSC013,BA,C.glabrata,8.75,0.46499999999999997,6.5,0.53
HSC013,FLC,C.glabrata,22.833333333333332,0.30666666666666664,19.5,0.33166666666666667
HSC014,BA,C.albicans,13.5,0.12,12.75,0.1075
HSC014,FLC,C.albicans,22.333333333333332,0.3116666666666667,19.666666666666668,0.35833333333333334
HSC015,BA,C.albicans,12.75,0.1525,11.25,0.1
HSC015,FLC,C.albicans,19,0.22333333333333333,17.5,0.23833333333333334
HSC017,BA,C.glabrata,8.5,0.40249999999999997,6.5,0.4625
HSC017,FLC,C.glabrata,15.5,0.25833333333333336,13.166666666666666,0.25166666666666665
HSC020,BA,C.albicans,13,0.17500000000000002,11.25,0.12000000000000001
HSC020,FLC,C.albicans,22,0.3566666666666667,19,0.43
HSC024,BA,C.glabrata,12.25,0.3025,10.25,0.3175
HSC024,FLC,C.glabrata,19.166666666666668,0.12166666666666666,17.5,0.07666666666666667
HSC026,BA,C.tropicalis,9.25,0.46,6.75,0.4925
HSC026,FLC,C.tropicalis,14.5,NA,12.333333333333334,NA
